,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00251.95,-00835.45,00167.97,0.36,11.77
1,10,00281.25,-00846.68,00204.59,0.36,11.79
2,20,00275.88,-00850.10,00208.01,0.36,11.93
3,30,00268.07,-00859.37,00207.52,0.37,11.90
4,40,00235.84,-00878.91,00205.08,0.37,11.90
5,50,00231.45,-00867.68,00175.29,0.37,11.97
6,60,00232.42,-00873.54,00169.92,0.38,12.19
7,70,00230.96,-00849.12,00153.81,0.39,12.07
8,80,00237.30,-00848.14,00159.67,0.39,11.82
9,90,00228.03,-00849.12,00171.39,0.39,12.08
10,100,00240.72,-00840.82,00153.81,0.39,11.79
11,110,00245.61,-00856.45,00160.64,0.39,11.78
12,120,00236.33,-00852.54,00177.73,0.39,11.76
13,130,00257.81,-00867.68,00186.52,0.39,11.52
14,140,00243.65,-00900.39,00198.73,0.38,11.65
15,150,00264.16,-00937.50,00184.57,0.39,11.53
16,160,00255.37,-00962.89,00184.57,0.39,11.60
17,170,00242.19,-00980.96,00183.59,0.39,11.94
18,180,00229.98,-01000.98,00186.04,0.39,12.01
19,190,00248.05,-01002.93,00188.96,0.40,12.19
20,200,00243.16,-01004.88,00201.17,0.41,11.54
21,210,00230.47,-00999.51,00210.94,0.42,11.87
22,220,00222.17,-01012.21,00199.71,0.43,11.37
23,230,00231.93,-01060.06,00183.59,0.43,11.49
24,240,00235.35,-01124.51,00179.20,0.44,11.86
25,250,00244.14,-01183.59,00181.64,0.45,11.67
26,260,00278.81,-01212.40,00197.27,0.46,12.01
27,270,00315.92,-01178.22,00217.29,0.47,11.87
28,280,00337.40,-01080.08,00232.42,0.47,11.83
29,290,00353.52,-01013.18,00240.72,0.48,13.89
30,300,00382.32,-00930.18,00244.14,0.48,11.66
31,310,00382.32,-00850.10,00231.93,0.48,11.76
32,320,00373.05,-00831.05,00225.10,0.48,11.53
33,330,00377.44,-00853.52,00240.72,0.47,11.75
34,340,00334.96,-00884.28,00248.05,0.46,11.65
35,350,00336.43,-00926.27,00245.61,0.45,11.92
36,360,00320.80,-00980.47,00251.95,0.44,11.82
