,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00190.43,-00317.38,00946.78,0.00,0.04
1,10,00209.47,-00342.29,00933.11,0.00,0.01
2,20,00202.15,-00352.05,00911.62,0.00,0.05
3,30,00226.07,-00369.14,00873.54,0.00,0.04
4,40,00271.00,-00335.94,00876.46,0.00,0.02
5,50,00290.04,-00283.69,00902.34,0.00,0.05
6,60,00312.99,-00293.46,00909.18,0.00,0.06
7,70,00305.66,-00285.16,00927.73,0.00,0.02
8,80,00328.61,-00271.97,00923.34,0.00,0.03
9,90,00336.91,-00254.39,00923.34,0.00,0.01
10,100,00332.52,-00238.77,00925.78,0.00,0.03
11,110,00313.96,-00242.19,00925.29,0.00,0.01
12,120,00302.25,-00237.30,00926.76,0.00,0.06
13,130,00260.25,-00238.77,00928.71,0.00,0.03
14,140,00233.40,-00258.30,00931.15,0.00,0.05
15,150,00215.82,-00267.09,00958.98,0.00,0.03
16,160,00193.85,-00285.16,00939.94,0.00,0.01
17,170,00152.34,-00278.32,00941.41,0.00,0.02
18,180,00137.21,-00277.34,00958.01,0.00,0.03
19,190,00130.86,-00295.90,00955.57,0.00,0.01
20,200,00194.82,-00310.06,00942.87,0.00,0.04
21,210,00229.00,-00283.69,00946.78,0.00,0.03
22,220,00175.78,-00271.97,00919.43,0.00,0.05
23,230,00244.14,-00266.60,00892.09,0.00,0.00
24,240,00249.02,-00229.00,00867.19,0.00,0.07
25,250,00253.42,-00225.10,00888.67,0.00,0.00
26,260,00257.32,-00230.96,00910.16,0.00,0.05
27,270,00273.93,-00241.70,00918.95,0.00,0.02
28,280,00303.71,-00226.56,00923.34,0.00,0.02
29,290,00328.12,-00233.40,00927.25,0.00,0.02
30,300,00299.32,-00227.54,00917.48,0.00,0.05
31,310,00286.62,-00246.09,00935.06,0.00,0.01
32,320,00317.87,-00244.63,00928.22,0.00,0.05
33,330,00320.80,-00254.88,00931.64,0.00,0.03
34,340,00265.14,-00240.72,00941.41,0.00,0.02
35,350,00270.02,-00252.44,00941.89,0.00,0.00
36,360,00263.67,-00261.72,00921.87,0.00,0.04
37,370,00261.23,-00258.79,00935.06,0.00,0.01
38,380,00280.27,-00271.00,00926.27,0.00,0.10
39,390,00316.89,-00253.42,00926.76,0.00,0.02
40,400,00329.59,-00236.33,00920.41,0.00,0.10
41,410,00310.06,-00229.49,00916.02,0.00,0.00
42,420,00307.62,-00216.80,00912.11,0.00,0.12
43,430,00307.13,-00237.79,00913.09,0.00,0.08
44,440,00324.71,-00221.19,00916.99,0.00,0.04
45,450,00326.17,-00228.52,00912.11,0.00,0.04
46,460,00375.00,-00248.54,00897.95,0.00,0.05
47,470,00371.58,-00264.16,00914.06,0.00,0.01
48,480,00375.00,-00279.30,00917.97,0.00,0.12
49,490,00433.59,-00289.06,00909.18,0.00,0.10
50,500,00410.16,-00260.74,00901.37,0.00,0.10
51,510,00372.56,-00278.81,00899.90,0.00,0.10
52,520,00363.77,-00303.22,00884.28,0.00,0.07
53,530,00362.30,-00291.02,00875.00,0.00,0.10
54,540,00377.93,-00280.76,00872.07,0.00,0.10
55,550,00367.19,-00281.74,00868.16,0.00,0.06
56,560,00409.67,-00280.27,00859.37,0.00,0.06
57,570,00416.99,-00259.77,00862.30,0.00,0.10
58,580,00426.27,-00257.81,00875.98,0.00,0.06
59,590,00453.12,-00269.53,00878.91,0.00,0.07
60,600,00448.73,-00270.51,00883.30,0.00,0.05
61,610,00434.57,-00242.68,00875.49,0.00,0.11
62,620,00430.66,-00261.72,00887.70,0.00,0.02
63,630,00406.25,-00256.35,00888.67,0.00,0.10
64,640,00389.16,-00258.30,00890.62,0.00,0.06
65,650,00391.11,-00266.11,00889.16,0.00,0.02
66,660,00384.28,-00264.16,00894.53,0.00,0.03
67,670,00377.93,-00248.54,00893.07,0.00,0.04
68,680,00368.65,-00258.30,00903.32,0.00,0.04
69,690,00372.56,-00265.14,00902.34,0.00,0.00
70,700,00371.09,-00269.04,00910.16,0.00,0.04
71,710,00377.44,-00264.65,00900.88,0.00,0.01
72,720,00392.58,-00272.46,00893.55,0.00,0.05
73,730,00371.58,-00268.07,00893.55,0.00,0.02
74,740,00375.98,-00261.72,00901.86,0.00,0.06
75,750,00371.09,-00251.95,00902.83,0.00,0.02
76,760,00373.54,-00258.30,00875.00,0.00,0.04
77,770,00396.00,-00269.53,00893.55,0.00,0.01
78,780,00379.88,-00267.58,00878.91,0.00,0.02
79,790,00389.65,-00257.32,00889.65,0.00,0.02
80,800,00386.72,-00266.11,00891.11,0.00,0.07
81,810,00390.62,-00278.32,00886.72,0.00,0.02
82,820,00377.44,-00273.93,00888.18,0.00,0.07
83,830,00364.26,-00260.25,00878.42,0.00,0.12
84,840,00389.65,-00269.04,00872.07,0.00,0.03
85,850,00399.41,-00268.07,00872.56,0.00,0.00
86,860,00414.55,-00248.54,00864.75,0.00,0.05
87,870,00425.78,-00248.05,00866.21,0.00,0.02
88,880,00430.18,-00251.95,00852.54,0.00,0.01
89,890,00443.36,-00259.77,00872.56,0.00,0.00
90,900,00435.55,-00263.18,00857.42,0.00,0.02
91,910,00446.78,-00243.16,00866.21,0.00,0.02
92,920,00456.54,-00253.42,00859.86,0.00,0.03
93,930,00436.52,-00255.37,00874.02,0.00,0.02
94,940,00441.89,-00246.58,00867.19,0.00,0.04
95,950,00437.01,-00251.95,00856.93,0.00,0.02
96,960,00421.87,-00250.49,00869.63,0.00,0.05
97,970,00438.48,-00238.28,00857.91,0.00,0.00
98,980,00431.64,-00248.05,00878.42,0.00,0.01
99,990,00418.95,-00238.28,00869.63,0.00,0.01
100,1000,00428.71,-00255.37,00867.19,0.00,0.01
101,1010,00431.15,-00242.19,00875.00,0.00,0.03
102,1020,00417.97,-00250.98,00857.42,0.00,0.04
103,1030,00433.59,-00261.23,00864.26,0.00,0.01
104,1040,00437.99,-00246.58,00857.42,0.00,0.02
105,1050,00440.92,-00248.54,00852.05,0.00,0.03
106,1060,00445.31,-00253.91,00859.37,0.00,0.05
107,1070,00438.96,-00259.28,00866.21,0.00,0.00
108,1080,00446.29,-00252.44,00857.42,0.00,0.04
109,1090,00429.69,-00253.91,00857.42,0.00,0.00
110,1100,00442.87,-00255.37,00865.23,0.00,0.06
111,1110,00437.99,-00262.70,00861.33,0.00,0.04
112,1120,00432.13,-00249.02,00854.98,0.00,0.04
113,1130,00442.38,-00271.00,00859.86,0.00,0.01
114,1140,00442.38,-00265.14,00859.86,0.00,0.07
115,1150,00458.98,-00261.72,00854.49,0.00,0.03
116,1160,00447.75,-00251.95,00858.89,0.00,0.02
117,1170,00442.38,-00271.48,00850.10,0.00,0.04
118,1180,00466.80,-00262.21,00858.40,0.00,0.05
119,1190,00447.27,-00266.11,00858.40,0.00,0.02
120,1200,00470.70,-00265.62,00862.30,0.00,0.07
121,1210,00462.40,-00250.00,00858.89,0.00,0.01
122,1220,00453.61,-00262.70,00850.59,0.00,0.07
123,1230,00448.73,-00270.51,00852.05,0.00,0.02
124,1240,00443.36,-00254.39,00864.75,0.00,0.08
125,1250,00446.29,-00257.32,00860.84,0.00,0.02
126,1260,00441.89,-00255.37,00864.26,0.00,0.04
127,1270,00441.89,-00259.28,00865.72,0.00,0.02
128,1280,00449.22,-00263.67,00857.42,0.00,0.03
129,1290,00450.20,-00251.46,00854.49,0.00,0.02
130,1300,00446.78,-00278.81,00861.33,0.00,0.09
131,1310,00454.10,-00257.32,00852.05,0.00,0.00
132,1320,00437.50,-00244.63,00853.03,0.00,0.05
133,1330,00447.27,-00262.70,00843.26,0.00,0.02
134,1340,00440.92,-00254.88,00845.70,0.00,0.05
135,1350,00434.57,-00266.11,00857.42,0.00,0.02
136,1360,00438.96,-00274.90,00877.44,0.00,0.09
137,1370,00416.50,-00264.16,00868.16,0.00,0.01
138,1380,00434.08,-00255.37,00863.77,0.00,0.08
139,1390,00426.76,-00258.79,00850.10,0.00,0.02
140,1400,00457.52,-00241.70,00836.43,0.00,0.06
141,1410,00483.40,-00244.63,00827.15,0.00,0.01
142,1420,00473.63,-00246.58,00836.91,0.00,0.06
143,1430,00484.37,-00256.84,00826.66,0.00,0.04
144,1440,00496.09,-00250.49,00844.24,0.00,0.05
145,1450,00484.37,-00250.00,00853.03,0.00,0.02
146,1460,00467.29,-00251.95,00862.30,0.00,0.05
147,1470,00455.08,-00264.65,00859.37,0.00,0.01
148,1480,00453.12,-00250.49,00858.40,0.00,0.07
149,1490,00449.22,-00257.32,00841.80,0.00,0.02
150,1500,00451.66,-00255.37,00853.52,0.00,0.07
151,1510,00447.75,-00259.77,00859.37,0.00,0.01
152,1520,00450.20,-00241.21,00854.98,0.00,0.04
153,1530,00454.59,-00264.16,00865.72,0.00,0.02
154,1540,00445.31,-00254.39,00864.75,0.00,0.07
155,1550,00444.82,-00246.09,00870.61,0.00,0.06
156,1560,00454.10,-00255.37,00857.91,0.00,0.05
157,1570,00448.24,-00263.18,00850.59,0.00,0.03
158,1580,00462.40,-00261.23,00864.26,0.00,0.00
159,1590,00449.22,-00255.86,00849.61,0.00,0.03
160,1600,00451.17,-00247.56,00837.89,0.00,0.07
161,1610,00449.71,-00253.42,00855.96,0.00,0.03
162,1620,00462.40,-00257.81,00854.49,0.00,0.12
163,1630,00449.22,-00251.95,00856.45,0.00,0.03
164,1640,00452.64,-00260.25,00860.84,0.00,0.14
165,1650,00456.54,-00253.91,00856.93,0.00,0.01
166,1660,00446.78,-00267.58,00849.12,0.00,0.13
167,1670,00452.64,-00242.68,00851.07,0.00,0.05
168,1680,00459.96,-00257.32,00853.03,0.00,0.16
169,1690,00451.66,-00250.49,00850.59,0.00,0.03
170,1700,00462.40,-00244.14,00849.61,0.00,0.04
171,1710,00456.54,-00250.98,00847.17,0.00,0.04
172,1720,00468.75,-00252.44,00852.54,0.00,0.07
173,1730,00472.17,-00256.84,00862.30,0.00,0.10
174,1740,00465.33,-00254.39,00853.03,0.00,0.07
175,1750,00464.36,-00261.23,00847.66,0.00,0.11
176,1760,00460.94,-00244.63,00849.12,0.00,0.10
177,1770,00466.31,-00254.88,00860.35,0.00,0.10
178,1780,00470.21,-00250.00,00840.33,0.00,0.10
179,1790,00453.12,-00256.35,00860.84,0.00,0.04
180,1800,00452.15,-00247.56,00842.29,0.00,0.12
181,1810,00447.27,-00259.77,00847.17,0.00,0.00
182,1820,00455.57,-00261.23,00858.40,0.00,0.12
183,1830,00452.64,-00258.30,00858.40,0.00,0.10
184,1840,00465.82,-00254.88,00845.21,0.00,0.14
185,1850,00465.82,-00257.81,00847.66,0.00,0.01
186,1860,00457.03,-00258.30,00862.79,0.00,0.09
187,1870,00462.89,-00254.39,00850.10,0.00,0.10
188,1880,00464.36,-00243.16,00846.19,0.00,0.06
189,1890,00460.94,-00241.70,00849.61,0.00,0.01
190,1900,00473.63,-00249.51,00852.54,0.00,0.04
191,1910,00453.61,-00252.44,00855.47,0.00,0.02
192,1920,00458.01,-00252.44,00861.82,0.00,0.05
193,1930,00457.03,-00255.37,00853.03,0.00,0.02
194,1940,00458.50,-00249.02,00871.58,0.00,0.06
195,1950,00460.94,-00250.49,00859.86,0.00,0.03
196,1960,00444.34,-00258.79,00853.52,0.00,0.07
197,1970,00441.41,-00253.91,00848.63,0.00,0.02
