,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00756.84,00162.60,00575.68,0.00,0.16
1,10,-00773.93,00182.62,00568.36,0.00,0.18
2,20,-00798.34,00144.04,00552.25,0.00,0.13
3,30,-00812.99,00193.85,00560.06,0.00,0.18
4,40,-00777.34,00155.76,00529.79,0.00,0.13
5,50,-00784.18,00181.64,00556.64,0.00,0.18
6,60,-00788.57,00144.04,00587.40,0.00,0.14
7,70,-00789.06,00127.93,00614.26,0.00,0.18
8,80,-00798.83,00141.11,00649.90,0.00,0.19
9,90,-00792.48,00141.60,00636.23,0.00,0.16
10,100,-00778.32,00118.65,00610.35,0.00,0.14
11,110,-00771.00,00154.30,00581.05,0.00,0.20
12,120,-00758.79,00135.74,00556.15,0.00,0.16
13,130,-00740.23,00155.76,00534.18,0.00,0.24
14,140,-00735.35,00163.57,00537.60,0.00,0.20
15,150,-00717.29,00155.76,00560.06,0.00,0.23
16,160,-00771.97,00120.61,00587.89,0.00,0.13
17,170,-00793.95,00098.14,00634.77,0.00,0.19
18,180,-00817.87,00129.39,00662.60,0.00,0.15
19,190,-00847.66,00129.39,00641.11,0.00,0.20
20,200,-00853.03,00092.29,00637.70,0.00,0.15
21,210,-00832.52,00110.35,00598.63,0.00,0.18
22,220,-00826.17,00109.37,00570.31,0.00,0.21
23,230,-00823.73,00124.51,00554.69,0.00,0.16
24,240,-00795.41,00118.65,00549.32,0.00,0.13
25,250,-00780.76,00150.88,00554.20,0.00,0.20
26,260,-00771.97,00136.72,00549.80,0.00,0.14
27,270,-00790.04,00158.69,00577.64,0.00,0.23
28,280,-00812.99,00134.77,00583.98,0.00,0.14
29,290,-00815.92,00122.56,00590.82,0.00,0.22
30,300,-00828.12,00155.76,00615.23,0.00,0.14
31,310,-00842.29,00136.72,00604.98,0.00,0.18
32,320,-00836.91,00112.30,00598.63,0.00,0.20
33,330,-00822.27,00139.16,00582.03,0.00,0.19
34,340,-00793.95,00117.68,00541.02,0.00,0.14
35,350,-00772.46,00164.55,00530.27,0.00,0.18
36,360,-00750.49,00179.69,00521.97,0.00,0.16
37,370,-00757.32,00184.57,00557.13,0.00,0.16
38,380,-00708.98,00186.52,00591.80,0.00,0.13
39,390,-00711.91,00164.06,00618.16,0.00,0.17
40,400,-00771.48,00172.85,00639.16,0.00,0.14
41,410,-00756.35,00166.02,00625.98,0.00,0.16
42,420,-00681.15,00156.25,00626.95,0.00,0.13
43,430,-00708.98,00173.83,00588.87,0.00,0.15
44,440,-00705.57,00169.92,00573.24,0.00,0.13
45,450,-00691.41,00186.04,00568.36,0.00,0.16
46,460,-00725.59,00183.59,00564.45,0.00,0.14
47,470,-00769.04,00169.43,00579.59,0.00,0.16
48,480,-00752.93,00173.83,00608.40,0.00,0.13
49,490,-00783.20,00174.80,00635.25,0.00,0.14
50,500,-00830.08,00154.30,00662.11,0.00,0.15
51,510,-00797.85,00201.17,00642.09,0.00,0.18
52,520,-00796.87,00187.99,00636.72,0.00,0.15
53,530,-00811.52,00207.03,00625.98,0.00,0.16
