,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00413.09,-00477.05,00839.36,0.00,0.10
1,10,-00404.30,-00483.89,00823.73,0.00,0.15
2,20,-00394.53,-00472.17,00808.59,0.00,0.10
3,30,-00417.97,-00479.98,00801.76,0.00,0.17
4,40,-00427.73,-00474.12,00784.18,0.00,0.10
5,50,-00422.85,-00482.91,00799.32,0.00,0.16
6,60,-00412.60,-00459.96,00798.34,0.00,0.10
7,70,-00404.79,-00455.08,00798.83,0.00,0.16
8,80,-00412.11,-00483.89,00803.71,0.00,0.15
9,90,-00398.44,-00484.86,00812.50,0.00,0.14
10,100,-00392.09,-00477.05,00802.73,0.00,0.10
11,110,-00391.11,-00476.56,00804.69,0.00,0.20
12,120,-00398.93,-00474.61,00804.20,0.00,0.10
13,130,-00401.86,-00471.68,00799.80,0.00,0.16
14,140,-00403.81,-00465.33,00794.43,0.00,0.10
15,150,-00422.36,-00465.33,00804.20,0.00,0.16
16,160,-00445.80,-00471.19,00792.97,0.00,0.10
17,170,-00469.73,-00458.50,00783.20,0.00,0.00
18,180,-00465.82,-00451.66,00779.30,0.00,0.15
19,190,-00490.23,-00460.45,00792.97,0.00,0.16
20,200,-00482.91,-00456.05,00773.93,0.00,0.00
21,210,-00471.68,-00451.66,00792.97,0.00,0.16
22,220,-00461.43,-00464.84,00779.79,0.00,0.10
23,230,-00449.71,-00470.21,00771.97,0.00,0.16
24,240,-00448.73,-00451.66,00768.07,0.00,0.10
25,250,-00436.04,-00475.10,00775.88,0.00,0.17
26,260,-00441.41,-00474.61,00778.32,0.00,0.10
27,270,-00433.11,-00483.40,00774.90,0.00,0.16
28,280,-00430.18,-00483.40,00750.98,0.00,0.16
29,290,-00440.92,-00490.72,00763.18,0.00,0.23
30,300,-00433.11,-00482.91,00772.95,0.00,0.10
31,310,-00425.78,-00483.40,00780.27,0.00,0.15
32,320,-00436.52,-00477.05,00784.18,0.00,0.13
33,330,-00434.08,-00473.14,00791.50,0.00,0.21
34,340,-00444.34,-00454.10,00808.11,0.00,0.10
35,350,-00426.27,-00469.73,00803.22,0.00,0.20
36,360,-00442.38,-00462.40,00784.18,0.00,0.09
37,370,-00431.15,-00450.68,00775.39,0.00,0.15
38,380,-00430.66,-00442.38,00761.23,0.00,0.09
39,390,-00435.55,-00454.10,00766.60,0.00,0.16
40,400,-00432.13,-00453.61,00775.39,0.00,0.10
41,410,-00444.82,-00463.87,00786.62,0.00,0.22
42,420,-00455.57,-00468.26,00787.60,0.00,0.10
43,430,-00469.73,-00460.94,00790.04,0.00,0.15
44,440,-00460.45,-00464.36,00791.02,0.00,0.10
45,450,-00473.14,-00461.91,00785.16,0.00,0.16
46,460,-00465.33,-00460.94,00789.55,0.00,0.10
47,470,-00477.05,-00466.31,00789.06,0.00,0.16
48,480,-00469.24,-00464.36,00769.53,0.00,0.10
49,490,-00454.10,-00465.33,00775.88,0.00,0.16
50,500,-00430.66,-00470.21,00775.39,0.00,0.10
51,510,-00445.31,-00466.31,00783.20,0.00,0.16
52,520,-00429.20,-00474.61,00766.60,0.00,0.10
53,530,-00437.99,-00468.26,00765.14,0.00,0.16
54,540,-00429.69,-00458.98,00785.16,0.00,0.10
55,550,-00459.47,-00460.45,00772.95,0.00,0.16
56,560,-00442.87,-00481.45,00770.02,0.00,0.10
57,570,-00440.92,-00475.59,00787.11,0.00,0.17
58,580,-00439.45,-00458.50,00772.95,0.00,0.10
59,590,-00432.13,-00457.03,00778.32,0.00,0.17
60,600,-00435.55,-00453.61,00777.83,0.00,0.10
61,610,-00439.94,-00459.96,00777.83,0.00,0.17
62,620,-00444.34,-00465.82,00769.04,0.00,0.10
63,630,-00431.64,-00460.45,00773.44,0.00,0.18
64,640,-00437.99,-00467.29,00791.02,0.00,0.10
65,650,-00459.96,-00462.40,00785.16,0.00,0.18
66,660,-00471.68,-00459.96,00777.83,0.00,0.10
67,670,-00455.57,-00463.38,00778.81,0.00,0.14
68,680,-00461.43,-00453.12,00787.60,0.00,0.10
69,690,-00440.92,-00458.50,00792.48,0.00,0.15
70,700,-00440.43,-00453.61,00783.69,0.00,0.10
71,710,-00442.38,-00452.15,00786.13,0.00,0.13
72,720,-00415.53,-00456.54,00781.74,0.00,0.10
73,730,-00416.02,-00471.68,00775.88,0.00,0.16
74,740,-00420.41,-00467.77,00769.04,0.00,0.10
75,750,-00450.68,-00456.54,00768.55,0.00,0.16
76,760,-00444.34,-00468.26,00778.81,0.00,0.10
77,770,-00437.01,-00467.29,00788.57,0.00,0.13
78,780,-00440.43,-00457.52,00790.53,0.00,0.09
79,790,-00435.06,-00463.38,00794.43,0.00,0.16
80,800,-00425.78,-00475.59,00791.02,0.00,0.06
