,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00038.09,00497.56,00634.77,0.24,7.20
1,10,00030.76,00469.24,00681.15,0.24,7.03
2,20,00058.11,00561.04,00673.83,0.24,7.03
3,30,00069.82,00553.22,00677.73,0.24,6.86
4,40,00032.23,00560.06,00681.64,0.25,7.24
5,50,00053.22,00556.15,00708.01,0.26,6.99
6,60,00038.57,00591.31,00704.10,0.26,6.97
7,70,00035.64,00586.43,00719.24,0.27,6.72
8,80,00019.53,00590.82,00729.00,0.28,7.06
9,90,-00012.70,00602.54,00726.56,0.29,7.03
10,100,-00008.79,00604.49,00728.03,0.30,7.24
11,110,-00024.90,00601.07,00709.47,0.30,7.10
12,120,-00038.09,00604.49,00704.59,0.31,7.04
13,130,-00041.50,00620.61,00667.97,0.31,7.15
14,140,-00050.29,00621.58,00662.60,0.32,7.26
15,150,-00066.41,00598.14,00638.18,0.32,6.93
16,160,-00081.05,00638.18,00649.90,0.32,7.05
17,170,-00074.71,00645.02,00636.23,0.32,6.99
18,180,-00086.91,00657.23,00628.91,0.32,7.32
19,190,-00095.70,00639.16,00638.67,0.32,7.03
20,200,-00093.26,00671.39,00640.62,0.31,6.95
21,210,-00090.82,00665.53,00647.95,0.31,6.90
22,220,-00091.80,00675.78,00636.72,0.31,7.15
23,230,-00098.63,00638.18,00612.30,0.30,7.14
24,240,-00084.96,00690.43,00595.21,0.30,7.31
25,250,-00087.89,00710.94,00583.98,0.30,7.10
26,260,-00087.89,00741.70,00569.82,0.29,7.11
27,270,-00119.14,00755.37,00552.73,0.29,7.15
28,280,-00126.95,00764.16,00542.97,0.28,7.26
29,290,-00111.33,00772.95,00547.85,0.28,6.96
30,300,-00148.93,00780.27,00547.85,0.28,7.06
31,310,-00152.34,00779.79,00554.69,0.27,6.85
32,320,-00164.06,00781.25,00550.78,0.27,7.40
33,330,-00193.36,00777.34,00533.20,0.27,7.16
34,340,-00234.37,00772.46,00529.79,0.27,7.34
35,350,-00190.92,00795.90,00519.04,0.26,7.12
36,360,-00176.76,00806.64,00533.69,0.27,7.22
37,370,-00178.71,00807.62,00535.64,0.27,6.93
38,380,-00177.73,00842.77,00529.79,0.27,7.21
39,390,-00180.66,00841.31,00500.49,0.28,7.14
40,400,-00184.08,00823.24,00503.91,0.28,7.32
41,410,-00214.84,00829.10,00479.98,0.28,7.05
42,420,-00198.24,00828.61,00480.96,0.29,7.17
43,430,-00219.73,00836.91,00464.84,0.30,7.09
44,440,-00245.61,00850.10,00470.21,0.31,7.28
45,450,-00242.68,00837.40,00485.35,0.33,7.14
46,460,-00214.36,00849.12,00504.88,0.34,7.34
47,470,-00223.14,00831.54,00510.25,0.36,7.05
48,480,-00225.59,00843.75,00506.35,0.39,7.09
49,490,-00208.98,00819.34,00527.34,0.41,6.93
50,500,-00229.00,00836.91,00514.65,0.43,7.00
51,510,-00227.05,00842.29,00508.79,0.45,7.07
52,520,-00239.75,00850.10,00528.81,0.47,7.31
53,530,-00265.62,00826.66,00489.75,0.48,7.02
54,540,-00247.56,00854.49,00472.66,0.49,7.14
55,550,-00254.88,00851.07,00490.23,0.49,6.99
56,560,-00220.21,00847.17,00473.63,0.49,7.35
57,570,-00220.21,00852.05,00458.98,0.49,7.12
58,580,-00190.43,00845.70,00462.40,0.48,7.19
59,590,-00207.52,00840.82,00445.80,0.47,6.98
60,600,-00150.88,00869.14,00438.96,0.45,7.24
61,610,-00168.46,00858.40,00443.36,0.43,7.16
62,620,-00143.55,00860.35,00425.78,0.42,7.35
63,630,-00153.81,00860.84,00430.18,0.40,7.09
64,640,-00128.91,00865.72,00438.48,0.38,7.20
65,650,-00115.23,00865.72,00450.20,0.36,6.98
66,660,-00074.22,00861.82,00448.24,0.34,7.15
67,670,-00054.69,00871.09,00425.78,0.32,6.95
68,680,-00080.57,00857.42,00405.76,0.31,7.53
69,690,-00096.68,00854.98,00402.34,0.30,7.09
70,700,-00105.47,00861.82,00396.48,0.29,7.22
71,710,-00099.12,00878.91,00393.55,0.28,7.05
72,720,-00123.54,00884.28,00387.21,0.28,7.43
73,730,-00141.11,00881.84,00365.23,0.28,7.17
74,740,-00126.46,00894.53,00338.38,0.28,7.29
75,750,-00141.11,00885.25,00335.45,0.28,6.96
76,760,-00106.93,00885.25,00337.40,0.29,7.21
77,770,-00073.24,00884.77,00374.51,0.29,6.96
78,780,-00054.69,00898.44,00395.02,0.29,7.37
79,790,-00043.46,00878.91,00417.48,0.30,7.29
80,800,-00059.08,00870.61,00427.73,0.31,7.40
81,810,-00068.36,00885.74,00416.50,0.31,7.07
82,820,-00086.91,00875.49,00414.06,0.31,7.31
83,830,-00134.28,00875.98,00373.05,0.32,7.20
84,840,-00142.58,00873.05,00391.11,0.32,7.40
85,850,-00166.02,00880.37,00412.60,0.32,7.03
86,860,-00163.09,00869.63,00429.69,0.32,7.16
87,870,-00147.46,00872.07,00439.45,0.32,6.93
88,880,-00127.93,00848.63,00460.45,0.32,7.18
89,890,-00149.90,00856.45,00524.90,0.33,7.15
90,900,-00119.14,00836.43,00554.20,0.32,7.50
91,910,-00087.89,00853.03,00583.98,0.33,7.01
92,920,-00087.89,00844.24,00580.57,0.33,7.44
93,930,-00082.52,00840.33,00562.01,0.33,7.17
94,940,-00092.77,00840.33,00563.48,0.33,7.29
95,950,-00102.54,00833.50,00557.13,0.33,7.09
96,960,-00108.40,00835.45,00559.57,0.32,7.34
97,970,-00119.14,00846.68,00537.60,0.32,7.23
98,980,-00142.58,00841.31,00521.48,0.32,7.43
99,990,-00185.06,00840.33,00499.02,0.32,7.14
100,1000,-00229.49,00854.49,00495.61,0.32,7.28
101,1010,-00244.14,00861.82,00489.75,0.32,6.95
102,1020,-00280.27,00873.54,00503.91,0.32,7.13
103,1030,-00290.04,00849.12,00500.98,0.32,6.93
104,1040,-00290.04,00855.96,00508.79,0.32,7.21
105,1050,-00272.46,00858.40,00498.05,0.32,7.04
106,1060,-00258.79,00864.75,00504.88,0.31,7.41
107,1070,-00226.56,00845.21,00504.39,0.31,7.13
108,1080,-00188.96,00864.75,00479.00,0.32,7.39
109,1090,-00172.36,00869.14,00477.54,0.32,7.13
110,1100,-00143.55,00878.91,00461.43,0.32,7.13
111,1110,-00146.48,00883.79,00443.85,0.32,6.96
112,1120,-00101.56,00873.05,00436.04,0.33,7.05
113,1130,-00091.80,00886.72,00422.85,0.33,7.05
114,1140,-00081.54,00875.00,00428.22,0.33,7.20
115,1150,-00122.56,00877.93,00404.30,0.34,6.95
116,1160,-00075.20,00902.83,00407.71,0.36,7.24
117,1170,-00112.30,00874.51,00390.14,0.36,7.05
118,1180,-00097.17,00898.93,00378.91,0.37,7.13
119,1190,-00102.05,00908.69,00351.07,0.38,7.12
120,1200,-00115.72,00901.37,00352.54,0.39,7.37
121,1210,-00109.86,00918.95,00331.54,0.40,7.13
122,1220,-00098.63,00918.46,00307.13,0.41,7.26
123,1230,-00078.61,00924.80,00304.69,0.42,7.00
124,1240,-00084.47,00934.08,00285.16,0.42,7.21
125,1250,-00068.85,00912.60,00273.93,0.43,7.12
