,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00171.39,00951.17,00172.85,0.48,12.38
1,10,00164.55,00966.80,00160.64,0.54,12.38
2,20,00177.25,00967.77,00162.11,0.61,12.39
3,30,00167.48,00958.01,00157.23,0.68,12.41
4,40,00177.25,00951.66,00147.46,0.77,12.44
5,50,00169.43,00961.91,00177.73,0.86,12.41
6,60,00171.39,00958.01,00166.02,0.96,12.59
7,70,00169.92,00949.22,00162.11,0.96,12.40
8,80,00173.34,00958.01,00166.50,0.96,12.39
9,90,00176.27,00962.40,00164.06,0.96,12.39
10,100,00165.04,00962.40,00158.20,0.96,12.40
11,110,00172.85,00954.10,00166.50,0.96,12.40
12,120,00170.90,00945.80,00166.99,0.96,12.38
13,130,00164.55,00963.87,00167.48,0.96,12.46
14,140,00163.09,00951.17,00176.76,0.96,12.40
15,150,00172.85,00958.01,00165.04,0.91,12.40
16,160,00174.32,00958.98,00162.11,0.82,12.40
17,170,00165.53,00957.52,00166.02,0.74,12.40
18,180,00166.50,00969.24,00169.43,0.67,12.40
19,190,00162.60,00960.94,00166.99,0.60,12.40
20,200,00171.39,00960.45,00168.46,0.55,12.37
21,210,00177.25,00947.27,00168.46,0.50,12.43
22,220,00174.80,00971.19,00164.55,0.45,12.79
23,230,00171.39,00962.89,00160.64,0.41,12.41
24,240,00148.93,00947.27,00161.62,0.37,12.40
25,250,00154.30,00969.24,00164.55,0.34,12.41
26,260,00173.83,00964.84,00157.23,0.32,12.30
27,270,00156.74,00966.80,00164.06,0.30,12.54
28,280,00184.08,00953.12,00174.32,0.29,12.40
29,290,00169.43,00953.61,00155.27,0.29,12.53
30,300,00160.64,00950.68,00160.16,0.29,12.41
31,310,00167.97,00965.82,00169.92,0.30,12.38
32,320,00176.76,00949.71,00158.20,0.31,12.37
33,330,00180.18,00953.12,00160.64,0.32,12.38
34,340,00158.20,00964.36,00165.04,0.34,12.36
35,350,00169.43,00956.05,00170.41,0.36,12.40
36,360,00161.13,00954.10,00172.36,0.38,12.37
37,370,00174.80,00966.80,00167.97,0.39,12.40
38,380,00190.92,00963.38,00167.48,0.41,12.33
39,390,00181.64,00952.15,00167.48,0.42,12.36
40,400,00172.36,00951.66,00171.87,0.43,12.40
41,410,00178.22,00957.03,00162.11,0.43,12.40
42,420,00172.85,00969.73,00165.04,0.43,12.42
43,430,00182.62,00964.84,00164.55,0.43,12.37
44,440,00182.13,00944.34,00153.32,0.42,12.39
45,450,00174.32,00969.24,00169.43,0.40,12.36
46,460,00172.85,00948.24,00173.83,0.40,12.37
47,470,00187.50,00958.98,00165.53,0.39,12.35
48,480,00180.18,00948.24,00171.39,0.38,12.36
49,490,00177.25,00967.77,00163.09,0.37,12.32
50,500,00178.71,00962.89,00166.99,0.35,12.32
51,510,00169.92,00961.43,00164.06,0.34,12.37
52,520,00174.32,00958.01,00157.23,0.33,12.38
53,530,00163.57,00956.54,00163.09,0.32,12.30
54,540,00166.02,00958.01,00168.46,0.32,12.39
55,550,00168.95,00955.57,00159.67,0.31,12.32
56,560,00166.02,00963.87,00154.79,0.31,12.32
57,570,00170.90,00957.52,00166.50,0.30,12.37
58,580,00159.67,00948.24,00166.99,0.30,12.30
59,590,00167.48,00953.12,00170.90,0.30,12.34
60,600,00175.29,00955.08,00155.76,0.30,12.29
61,610,00178.71,00958.50,00156.74,0.30,12.34
62,620,00171.87,00958.50,00162.11,0.30,12.31
63,630,00158.20,00950.68,00162.11,0.31,12.29
64,640,00173.34,00961.91,00172.36,0.31,12.28
65,650,00171.39,00956.54,00159.18,0.31,12.31
66,660,00163.57,00958.98,00158.20,0.31,12.32
67,670,00171.87,00956.05,00176.27,0.32,12.19
68,680,00159.18,00956.54,00167.97,0.32,12.20
69,690,00172.85,00941.41,00156.25,0.32,12.21
70,700,00163.57,00964.36,00169.92,0.32,12.30
71,710,00161.62,00957.52,00174.80,0.32,12.27
72,720,00161.13,00955.08,00169.43,0.32,12.28
73,730,00177.73,00968.75,00167.48,0.32,12.29
74,740,00166.99,00956.05,00165.53,0.33,12.30
75,750,00171.39,00949.71,00168.95,0.33,12.30
76,760,00157.71,00948.73,00163.09,0.33,12.47
