,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-416.02,-194.34,898.93,0.0,0.27
1,10,-429.2,-187.99,882.81,0.0,0.05
2,20,-420.41,-191.41,874.02,0.0,0.22
3,30,-435.55,-202.15,868.16,0.0,0.04
4,40,-418.95,-196.78,873.54,0.0,0.31
5,50,-416.99,-204.59,871.09,0.0,0.05
6,60,-436.52,-187.01,879.88,0.0,0.26
7,70,-444.82,-202.15,893.07,0.0,0.09
8,80,-443.85,-191.41,882.81,0.0,0.29
9,90,-458.01,-198.73,886.23,0.0,0.07
10,100,-458.01,-172.36,888.67,0.0,0.27
11,110,-477.54,-174.32,894.53,0.0,0.04
12,120,-481.93,-167.97,889.16,0.0,0.27
13,130,-491.21,-171.39,906.74,0.0,0.07
14,140,-501.95,-164.55,906.74,0.0,0.27
15,150,-495.12,-175.29,921.39,0.0,0.07
16,160,-490.23,-189.94,925.78,0.0,0.29
17,170,-489.75,-194.82,915.53,0.0,0.08
18,180,-478.52,-187.01,898.93,0.0,0.24
19,190,-473.14,-196.78,885.74,0.0,0.07
20,200,-482.42,-203.61,882.32,0.0,0.27
21,210,-478.03,-212.4,879.39,0.0,0.06
22,220,-475.1,-210.45,878.91,0.0,0.29
23,230,-479.98,-212.89,892.09,0.0,0.07
24,240,-465.33,-208.98,886.23,0.0,0.27
25,250,-451.17,-210.94,881.84,0.0,0.08
26,260,-464.36,-218.26,872.56,0.0,0.29
27,270,-460.45,-214.84,868.65,0.0,0.07
28,280,-465.82,-208.98,857.42,0.0,0.28
29,290,-490.23,-205.57,867.19,0.0,0.07
30,300,-486.33,-211.91,863.77,0.0,0.26
31,310,-480.96,-207.52,870.12,0.0,0.07
32,320,-498.54,-195.8,849.12,0.0,0.29
33,330,-479.0,-192.38,869.14,0.0,0.09
34,340,-472.66,-195.31,874.02,0.0,0.29
35,350,-479.98,-208.01,867.68,0.0,0.09
36,360,-476.07,-211.43,870.12,0.0,0.29
37,370,-481.45,-194.82,876.46,0.0,0.04
38,380,-475.1,-202.64,862.3,0.0,0.29
39,390,-480.47,-192.38,863.77,0.0,0.09
40,400,-477.54,-198.73,857.42,0.0,0.26
41,410,-475.59,-195.31,855.47,0.0,0.08
42,420,-484.37,-200.2,873.05,0.0,0.26
43,430,-495.12,-198.24,868.65,0.0,0.09
44,440,-488.28,-194.34,857.91,0.0,0.29
45,450,-487.3,-204.1,871.58,0.0,0.11
46,460,-475.1,-205.08,875.98,0.0,0.29
47,470,-463.87,-206.54,868.16,0.0,0.05
48,480,-469.73,-189.45,879.88,0.0,0.29
49,490,-532.23,-214.36,913.57,0.0,0.05
50,500,-594.73,-252.93,939.94,0.0,0.29
51,510,-596.19,-252.93,952.15,0.0,0.09
52,520,-608.4,-234.86,940.43,0.0,0.27
53,530,-563.96,-247.07,945.8,0.0,0.07
54,540,-560.06,-233.4,930.66,0.0,0.29
55,550,-504.39,-195.31,884.77,0.0,0.09
56,560,-461.91,-176.76,861.33,0.0,0.26
57,570,-441.89,-174.32,831.54,0.0,0.1
58,580,-423.83,-167.48,843.75,0.0,0.28
59,590,-438.48,-147.95,839.84,0.0,0.07
60,600,-440.92,-158.2,852.05,0.0,0.26
61,610,-453.12,-151.86,863.28,0.0,0.04
62,620,-483.89,-146.0,873.54,0.0,0.18
63,630,-528.32,-175.29,884.28,0.0,0.1
64,640,-541.02,-171.39,887.7,0.0,0.29
65,650,-542.48,-168.46,875.98,0.0,0.1
66,660,-503.91,-137.21,864.26,0.0,0.32
67,670,-537.6,-161.62,862.3,0.0,0.08
68,680,-555.18,-188.48,857.91,0.0,0.26
69,690,-541.5,-179.2,871.09,0.0,0.09
70,700,-614.26,-172.36,894.04,0.0,0.03
71,710,-655.27,-215.82,927.73,0.0,0.1
72,720,-635.74,-215.33,945.8,0.0,0.29
73,730,-641.6,-203.61,968.75,0.0,0.09
74,740,-655.27,-249.02,1003.91,0.0,0.26
75,750,-678.22,-291.02,1024.41,0.0,0.06
76,760,-783.69,-354.49,1064.45,0.0,0.38
77,770,-839.36,-418.95,1085.45,0.0,0.07
78,780,-911.13,-479.49,1087.89,0.0,0.27
79,790,-696.29,-468.26,1034.18,0.0,0.05
80,800,-548.34,-345.7,993.65,0.0,0.31
81,810,-413.57,-251.46,899.9,0.0,0.11
82,820,-263.67,-125.0,793.46,0.0,0.29
83,830,-54.69,67.87,646.48,0.0,0.07
84,840,359.37,227.54,486.33,0.0,0.35
85,850,749.51,440.92,325.68,0.0,0.07
86,860,572.75,712.89,187.01,0.0,0.33
87,870,-63.48,743.16,176.76,0.0,0.1
88,880,-286.13,713.38,368.65,0.0,0.29
89,890,-254.39,695.8,670.41,0.0,0.07
90,900,-206.54,536.62,904.79,0.0,0.27
91,910,-461.43,294.43,1039.55,0.0,0.08
92,920,-541.5,177.25,1033.69,0.0,0.24
93,930,-247.56,155.76,994.63,0.0,0.08
94,940,-171.39,142.09,1064.94,0.0,0.27
95,950,-477.05,28.32,1146.97,0.0,0.08
96,960,-847.17,-134.28,1197.75,0.0,0.28
97,970,-984.37,-260.74,1116.7,0.0,0.02
98,980,-902.83,-261.23,937.5,0.0,0.26
99,990,-855.96,-289.55,775.39,0.0,0.05
100,1000,-808.11,-369.14,732.42,0.0,0.27
101,1010,-467.29,-436.04,826.66,0.0,0.07
102,1020,-93.26,-373.05,906.74,0.0,0.28
103,1030,-68.85,-296.87,936.52,0.0,0.12
104,1040,-153.81,-252.44,976.07,0.0,0.29
105,1050,-213.87,-213.87,990.23,0.0,0.09
106,1060,-363.28,-166.02,1040.04,0.0,0.26
107,1070,-745.12,-182.62,1107.91,0.0,0.09
108,1080,-1025.88,-213.87,1170.41,0.0,0.27
109,1090,-1235.35,-250.49,1238.77,0.0,0.1
110,1100,-1357.42,-258.3,1266.11,0.0,0.26
111,1110,-1295.41,-248.05,1240.72,0.0,0.08
112,1120,-1373.05,-251.46,1237.3,0.0,0.26
113,1130,-1434.08,-274.41,1262.21,0.0,0.06
114,1140,-1395.51,-338.87,1243.16,0.0,0.24
115,1150,-1104.0,-346.68,1153.32,0.0,0.08
116,1160,-814.45,-309.08,985.35,0.0,0.25
117,1170,-462.89,-248.05,845.7,0.0,0.07
118,1180,-193.36,-131.84,739.75,0.0,0.26
119,1190,172.36,-14.16,629.39,0.0,0.18
120,1200,436.52,139.16,548.83,0.0,0.27
121,1210,568.85,312.99,479.49,0.0,0.05
122,1220,701.66,456.05,391.6,0.0,0.29
123,1230,1023.44,578.12,301.76,0.0,0.1
124,1240,1107.42,761.23,222.17,0.0,0.29
125,1250,960.45,931.64,170.9,0.0,0.09
126,1260,775.88,1015.62,245.12,0.0,0.29
127,1270,205.57,1007.81,360.35,0.0,0.1
128,1280,-360.84,925.29,505.86,0.0,0.26
129,1290,-724.12,520.02,756.84,0.0,0.06
130,1300,-1524.9,116.7,928.71,0.0,0.26
131,1310,-1829.59,13.18,945.8,0.0,0.08
132,1320,-1475.1,106.45,892.09,0.0,0.29
133,1330,-1080.08,184.57,746.58,0.0,0.1
134,1340,-907.71,134.77,628.42,0.0,0.26
135,1350,-793.95,141.11,535.64,0.0,0.09
136,1360,-750.0,151.37,452.64,0.0,0.26
137,1370,-672.85,166.5,442.38,0.0,0.06
138,1380,-430.18,126.95,506.84,0.0,0.27
139,1390,-220.7,86.91,575.68,0.0,0.09
140,1400,-221.19,95.7,589.84,0.0,0.25
141,1410,-343.26,120.61,576.66,0.0,0.08
142,1420,-384.77,130.86,579.1,0.0,0.23
143,1430,-402.83,149.41,572.75,0.0,0.07
144,1440,-375.0,169.43,605.96,0.0,0.28
145,1450,-348.14,172.85,683.11,0.0,0.1
146,1460,-338.38,206.05,742.19,0.0,0.27
147,1470,-344.24,235.84,765.62,0.0,0.07
148,1480,-257.81,251.95,736.33,0.0,0.27
149,1490,-214.36,282.23,671.87,0.0,0.07
150,1500,-108.89,331.05,602.54,0.0,0.29
151,1510,-38.09,380.37,524.9,0.0,0.1
152,1520,0.98,425.78,427.25,0.0,0.27
153,1530,-494.63,381.84,449.71,0.0,0.1
154,1540,-1715.82,46.88,554.69,0.0,0.29
155,1550,-2000.0,-465.82,716.8,0.0,0.12
156,1560,-2000.0,-774.41,820.8,0.0,0.27
157,1570,-2000.0,-933.11,910.64,0.0,0.0
158,1580,-2000.0,-1036.13,691.41,0.0,0.29
159,1590,-1908.2,-726.07,330.08,0.0,0.13
160,1600,-950.68,-458.98,93.26,0.0,0.29
161,1610,150.39,-338.38,326.17,0.0,0.1
162,1620,796.39,-167.48,408.69,0.0,0.32
163,1630,837.4,186.52,398.93,0.0,0.14
164,1640,402.83,636.23,292.48,0.0,0.36
165,1650,-241.21,525.39,306.15,0.0,0.1
166,1660,-736.33,479.98,896.48,0.0,0.29
167,1670,-641.11,687.5,1395.51,0.0,0.1
168,1680,-262.21,1001.95,1704.1,0.0,0.26
