,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00583.01,00106.93,00666.50,0.29,0.00
1,10,-00456.05,-00010.74,00813.96,0.23,0.00
2,20,-00982.42,-00045.41,01118.16,0.20,0.00
3,30,-01037.11,00072.75,01352.05,0.22,0.00
4,40,-00934.08,00161.62,01285.16,0.26,0.00
5,50,-00670.41,00207.03,01061.52,0.31,0.00
6,60,-00027.34,00244.63,00480.47,0.38,0.00
7,70,00422.36,00373.05,00397.46,0.45,0.00
8,80,00733.40,00536.62,00818.36,0.49,0.00
9,90,01128.91,00661.62,01216.80,0.49,0.00
10,100,01411.13,00582.52,01214.36,0.45,0.00
11,110,01442.87,00404.30,00841.80,0.37,0.00
12,120,00856.45,00312.50,00705.57,0.28,0.00
13,130,-00149.90,00037.11,00711.91,0.20,0.00
14,140,-00706.54,-00129.88,00726.56,0.16,0.00
15,150,-01230.96,-00162.11,01017.09,0.15,0.00
16,160,-01237.79,-00098.63,01047.85,0.17,0.00
17,170,-00908.20,-00053.22,00927.25,0.22,0.00
18,180,-00268.55,-00022.95,00622.56,0.28,0.00
19,190,00244.63,00164.06,00438.96,0.34,0.00
20,200,00738.77,00426.27,00704.59,0.41,0.00
21,210,01205.08,00655.76,01043.46,0.47,0.00
22,220,01426.27,00670.41,01172.36,0.48,0.00
23,230,01365.72,00538.57,00957.52,0.46,0.00
24,240,01026.37,00368.16,00700.20,0.40,0.00
25,250,00234.37,00164.06,00658.20,0.35,0.00
26,260,-00378.91,00080.08,00795.90,0.31,0.00
27,270,-00745.12,00062.50,00896.48,0.29,0.00
28,280,-00897.95,00075.68,01017.09,0.30,0.00
29,290,-00736.82,00129.39,01042.48,0.34,0.00
30,300,-00459.96,00170.90,01053.22,0.39,0.00
31,310,-00135.74,00189.94,00938.96,0.46,0.00
32,320,00353.03,00207.03,00619.14,0.54,0.00
33,330,00793.95,00392.09,00659.18,0.62,0.00
34,340,01043.46,00583.50,00842.77,0.71,0.00
35,350,01166.50,00615.23,00987.30,0.78,0.00
36,360,01197.27,00568.85,00980.96,0.82,0.00
37,370,01044.92,00502.44,00807.13,0.82,0.00
38,380,00573.73,00422.36,00746.09,0.79,0.00
39,390,00145.51,00326.17,00790.53,0.77,0.00
40,400,-00377.93,00287.11,01043.95,0.76,0.00
41,410,-00521.97,00173.83,01177.25,0.76,0.00
42,420,-00565.43,00177.25,01261.72,0.76,0.00
43,430,-00541.50,00218.75,01267.09,0.78,0.00
44,440,-00511.23,00204.59,01197.27,0.80,0.00
45,450,-00388.67,00229.98,01196.29,0.81,0.00
46,460,-00012.21,00263.18,01004.39,0.85,4.94
47,470,00292.97,00249.51,00751.95,0.88,5.48
48,480,00532.23,00405.27,00668.95,0.90,5.88
49,490,00889.16,00437.01,00869.63,0.90,6.28
50,500,01138.67,00392.09,00855.96,0.88,6.39
51,510,01441.41,00295.41,00956.54,0.81,6.74
52,520,01221.68,00347.17,00784.18,0.70,6.84
53,530,00770.02,00173.83,00448.24,0.57,6.88
54,540,00279.79,00397.46,00527.83,0.44,7.00
55,550,-00768.07,00125.98,00609.86,0.31,7.07
56,560,-00860.35,-00136.72,00663.09,0.20,7.04
57,570,-00784.18,-00347.17,00937.99,0.12,7.09
58,580,-00312.99,-00251.46,01047.85,0.07,7.12
59,590,00093.75,-00138.67,00745.61,0.07,7.15
60,600,00626.95,00090.33,00272.46,0.10,7.14
61,610,00947.75,00360.35,00264.16,0.15,7.23
62,620,01133.79,00472.66,01025.39,0.24,7.17
63,630,01263.18,00476.56,01265.63,0.35,7.13
64,640,00920.41,00495.12,00859.37,0.43,7.19
65,650,00690.92,00417.97,00471.68,0.49,7.20
66,660,00158.20,00479.49,00460.45,0.51,7.12
67,670,-00229.49,00199.22,00271.97,0.50,7.20
68,680,-00405.27,00052.73,00321.78,0.48,7.15
69,690,-00960.94,-00152.34,00876.46,0.47,7.21
70,700,-00945.80,-00011.72,01249.02,0.46,7.14
71,710,-00652.83,00093.26,01200.20,0.47,7.15
72,720,00157.23,00269.04,00716.31,0.50,7.16
73,730,00769.04,00433.11,00811.04,0.53,7.21
74,740,01038.09,00629.39,01146.00,0.56,7.15
75,750,01062.99,00596.19,01189.45,0.59,7.16
76,760,00832.03,00403.32,00485.35,0.60,7.10
77,770,00490.72,00291.02,-00015.63,0.61,7.14
78,780,00193.36,00161.13,00086.43,0.60,7.06
79,790,00134.28,00192.87,00200.20,0.57,7.03
80,800,-00147.95,00138.67,00548.83,0.54,7.01
81,810,-00340.82,00222.17,01060.55,0.51,7.00
82,820,-00323.73,00302.73,01235.84,0.47,7.03
83,830,-00389.65,00341.31,01374.51,0.45,7.09
84,840,-00386.23,00390.14,01586.91,0.43,7.07
85,850,-00294.92,00373.54,01535.64,0.44,7.00
86,860,-00179.69,00331.54,01410.16,0.45,6.96
87,870,00121.58,00318.85,01318.85,0.48,6.95
88,880,00680.18,00261.72,00882.81,0.51,6.95
89,890,00984.86,00312.01,00510.25,0.55,6.92
90,900,01064.45,00573.73,00685.55,0.59,6.88
91,910,00896.97,00774.41,00743.65,0.63,7.02
92,920,00929.20,00688.48,00234.86,0.64,6.94
93,930,01132.81,00540.53,00160.16,0.63,6.97
94,940,00943.85,00545.90,00477.05,0.60,6.83
95,950,00500.49,00213.87,00671.39,0.55,6.92
96,960,00446.78,00247.07,00718.26,0.50,6.93
97,970,00269.04,00189.94,00782.23,0.45,6.93
98,980,-00612.30,00039.06,00867.19,0.42,6.90
99,990,-01239.26,-00048.34,01047.36,0.40,7.10
100,1000,-01242.19,00034.18,01181.15,0.40,7.00
101,1010,-00982.91,00103.52,01102.05,0.41,6.98
102,1020,-00632.81,00181.15,01007.81,0.43,7.03
103,1030,-00141.11,00216.31,00680.18,0.47,7.14
104,1040,00637.21,00198.73,00199.22,0.51,7.03
105,1050,01535.64,00476.07,00106.93,0.56,7.04
106,1060,01400.39,00800.29,00602.54,0.61,6.94
107,1070,01225.59,00937.50,00665.04,0.63,6.93
108,1080,01602.05,00566.41,00476.07,0.63,6.87
109,1090,01721.19,00436.04,00069.34,0.60,6.77
110,1100,01062.50,00175.29,-00062.99,0.56,6.63
111,1110,-00254.88,-00212.40,00205.08,0.50,6.60
112,1120,-00793.95,-00497.56,00509.77,0.44,6.68
113,1130,-01441.89,-00337.40,01118.65,0.39,6.71
114,1140,-01789.55,-00131.84,01511.72,0.36,6.63
115,1150,-01631.84,-00036.13,01395.02,0.35,6.81
116,1160,-01150.39,-00027.34,01122.56,0.36,6.74
117,1170,-00170.41,-00070.80,00585.94,0.39,6.82
118,1180,00511.72,00092.77,00224.61,0.44,6.77
119,1190,01181.15,00462.89,00037.11,0.51,6.81
120,1200,01452.64,00861.82,00493.16,0.58,6.81
121,1210,01619.63,00908.20,00836.91,0.63,6.74
122,1220,01681.64,00652.34,00562.50,0.66,6.61
123,1230,01466.31,00505.37,00278.81,0.68,6.55
124,1240,00672.85,00364.75,00362.79,0.69,6.54
125,1250,-00063.96,00041.99,00759.28,0.68,6.46
126,1260,-00399.41,-00032.71,01069.34,0.67,6.41
127,1270,-00844.73,00093.75,01339.36,0.66,6.44
128,1280,-01097.66,00188.48,01450.20,0.65,6.48
129,1290,-00859.37,00247.07,01350.59,0.62,6.49
130,1300,-00447.27,00245.12,01164.55,0.60,6.49
131,1310,00021.97,00253.42,00900.39,0.58,6.54
132,1320,00563.96,00420.41,00689.45,0.56,6.38
133,1330,01156.25,00562.99,00510.74,0.54,6.35
134,1340,01429.69,00650.88,00823.73,0.53,6.38
135,1350,01579.10,00615.72,00753.91,0.51,6.36
136,1360,01348.63,00414.55,00377.93,0.48,6.39
137,1370,01134.77,00320.31,00174.32,0.46,6.39
138,1380,00446.29,00185.06,00472.66,0.43,6.33
139,1390,00062.99,00280.27,00888.18,0.42,6.32
140,1400,-00207.52,00278.32,01207.52,0.41,6.21
141,1410,-00593.75,00278.81,01363.77,0.40,6.34
142,1420,-00697.75,00252.93,01494.14,0.40,6.32
143,1430,-00734.86,00218.75,01498.05,0.40,6.35
144,1440,-00621.58,00213.87,01393.55,0.41,6.37
145,1450,-00311.04,00185.55,01104.49,0.43,6.36
146,1460,00190.43,00189.45,00692.38,0.44,6.45
147,1470,00864.75,00309.57,00229.49,0.46,6.46
148,1480,01271.00,00598.14,00354.98,0.49,6.32
149,1490,01528.32,00789.55,00590.33,0.50,6.33
150,1500,01614.75,00664.06,00512.70,0.50,6.29
151,1510,01653.32,00537.60,00352.54,0.48,6.35
152,1520,01160.16,00082.03,00260.25,0.45,6.34
153,1530,00384.77,00044.92,00500.49,0.43,6.24
154,1540,-00126.95,00075.68,00929.20,0.40,6.57
155,1550,-00469.73,00058.11,01208.50,0.39,6.29
156,1560,-00936.52,00124.02,01377.93,0.39,6.37
157,1570,-01116.70,00125.98,01337.89,0.38,6.29
158,1580,-01064.45,00132.81,01298.83,0.39,6.45
159,1590,-00804.69,00131.35,01095.21,0.39,6.53
160,1600,-00286.62,00095.70,00733.40,0.40,6.43
161,1610,00290.53,00162.11,00354.49,0.42,6.65
162,1620,00977.05,00331.05,00153.32,0.45,6.64
163,1630,01330.08,00615.72,00313.48,0.49,6.74
164,1640,01432.13,00768.07,00612.79,0.51,6.73
165,1650,01418.46,00646.97,00622.56,0.52,6.64
166,1660,01416.50,00499.02,00420.90,0.51,6.70
167,1670,00928.22,00001.46,00139.65,0.49,6.58
168,1680,00147.95,-00046.88,00331.54,0.46,6.43
169,1690,-00461.43,-00021.00,00692.38,0.43,6.52
170,1700,-00798.34,-00035.16,00982.42,0.40,6.60
171,1710,-01123.05,00071.29,01193.36,0.37,6.66
172,1720,-01270.51,00105.47,01335.94,0.35,6.63
173,1730,-01212.40,00107.42,01386.23,0.34,6.78
174,1740,-00896.48,00063.48,01215.82,0.33,6.82
175,1750,-00506.84,00074.71,00983.89,0.34,6.81
176,1760,00263.18,00068.36,00361.82,0.37,6.80
177,1770,01134.77,00282.23,-00050.78,0.42,6.92
178,1780,01356.45,00672.36,00338.38,0.47,6.90
179,1790,01540.04,00863.77,00578.12,0.51,6.84
180,1800,01614.26,00621.09,00488.28,0.53,6.87
181,1810,01910.16,00479.49,00319.34,0.53,6.76
182,1820,01263.67,-00129.88,00041.02,0.51,6.73
183,1830,00414.55,00041.50,00321.29,0.47,6.76
184,1840,-00324.71,-00053.22,00941.89,0.43,6.60
185,1850,-00682.62,-00187.01,01357.42,0.39,6.65
186,1860,-01164.55,-00090.33,01604.49,0.36,6.76
187,1870,-01489.75,00012.21,01593.26,0.34,6.82
188,1880,-01407.71,00136.23,01541.02,0.33,6.88
189,1890,-01072.27,00131.84,01266.60,0.34,6.99
190,1900,-00652.34,00154.30,00878.91,0.37,6.90
191,1910,00206.54,00187.50,00333.98,0.42,6.99
192,1920,00901.37,00380.86,00166.02,0.48,6.99
193,1930,01489.26,00687.01,00242.19,0.55,7.03
194,1940,01625.00,00757.81,00763.67,0.59,7.02
195,1950,01713.87,00678.71,01049.32,0.62,6.88
196,1960,01714.36,00488.77,00585.45,0.64,6.83
197,1970,01075.20,00336.43,00501.46,0.63,6.78
198,1980,-00116.70,-00055.66,00776.37,0.61,6.72
199,1990,-00676.27,-00191.89,01095.70,0.58,6.74
200,2000,-01395.02,-00187.99,01277.83,0.54,6.75
201,2010,-01705.57,-00123.05,01309.08,0.51,6.88
202,2020,-01604.00,00001.46,01376.95,0.47,6.88
203,2030,-00974.12,-00001.95,01061.52,0.44,6.96
204,2040,-00060.06,00019.04,00698.24,0.43,7.00
205,2050,00706.05,00129.88,00250.49,0.42,6.94
206,2060,01649.41,00440.92,-00253.42,0.43,7.02
207,2070,01871.58,00879.39,00582.52,0.45,7.04
208,2080,01999.94,00994.14,00979.49,0.46,6.91
209,2090,01999.94,00601.07,00767.09,0.47,6.85
210,2100,01999.94,00619.63,00231.93,0.47,6.92
211,2110,00761.72,00160.16,00195.80,0.46,6.83
212,2120,-00746.09,-00443.36,00210.94,0.44,6.84
213,2130,-01460.94,-00507.32,00388.18,0.41,6.82
214,2140,-02000.00,-00194.82,01030.27,0.38,6.85
215,2150,-02000.00,00029.79,01177.73,0.35,6.99
216,2160,-01896.97,-00083.01,00871.58,0.32,7.07
217,2170,-01079.10,-00115.72,00869.63,0.31,7.21
218,2180,-00371.09,00003.42,00596.68,0.30,7.13
219,2190,00608.40,00258.79,00175.29,0.31,7.18
220,2200,01111.33,00629.39,00486.33,0.35,7.04
221,2210,01481.93,00761.72,00861.82,0.39,7.06
222,2220,01547.85,00584.96,01030.27,0.41,6.95
223,2230,01426.76,00346.68,00650.88,0.44,6.93
224,2240,00760.25,00149.90,00260.74,0.46,6.85
225,2250,-00204.59,-00117.19,00413.57,0.47,6.84
226,2260,-00563.96,-00200.20,00693.85,0.47,6.79
227,2270,-00864.75,00004.88,00980.47,0.46,6.85
228,2280,-01118.16,00000.98,01128.91,0.45,6.96
229,2290,-00992.19,00062.99,01217.29,0.43,6.94
230,2300,-00692.38,00126.95,01332.52,0.41,7.10
231,2310,-00397.46,00225.10,01292.97,0.40,7.02
232,2320,-00136.72,00265.14,01221.68,0.40,7.04
233,2330,00094.73,00305.18,01136.23,0.40,7.12
234,2340,00228.03,00282.71,01047.36,0.41,7.11
235,2350,00383.30,00267.58,00931.64,0.43,7.12
236,2360,00645.02,00316.41,00599.61,0.46,7.11
237,2370,00720.21,00531.74,00739.75,0.48,7.23
238,2380,00901.37,00650.88,00995.61,0.50,7.15
239,2390,00879.88,00417.48,00614.26,0.50,7.13
240,2400,00644.53,00291.50,00590.82,0.48,7.23
241,2410,00194.82,00143.55,00643.55,0.46,7.14
242,2420,-00299.80,00102.54,00843.26,0.44,7.13
243,2430,-00502.93,00172.36,01129.88,0.43,7.19
244,2440,-00630.37,00163.57,01233.89,0.41,7.13
245,2450,-00676.76,00129.39,01228.52,0.41,7.24
246,2460,-00647.46,00153.32,01305.66,0.41,7.31
247,2470,-00451.66,00177.25,01178.71,0.42,7.24
248,2480,-00146.00,00234.37,01093.26,0.43,7.22
249,2490,00278.32,00315.92,00938.48,0.45,7.26
250,2500,00511.72,00419.43,00868.16,0.48,7.32
251,2510,00623.05,00438.48,00839.84,0.51,7.32
252,2520,00621.09,00396.97,00840.82,0.54,7.23
253,2530,00532.23,00358.40,00763.67,0.56,7.36
254,2540,00505.86,00353.52,00534.67,0.58,7.34
255,2550,00509.77,00425.29,00458.98,0.59,7.21
256,2560,00557.13,00475.10,00601.07,0.58,7.35
257,2570,00537.11,00454.10,00856.45,0.57,7.50
258,2580,00200.20,00349.61,00943.85,0.54,7.44
259,2590,-00133.30,00290.04,01137.70,0.52,7.65
260,2600,-00624.51,00124.51,01220.70,0.49,7.60
261,2610,-01032.71,-00016.60,01228.52,0.47,7.71
262,2620,-01310.55,-00037.11,01280.76,0.46,7.85
263,2630,-01316.41,-00030.76,01250.98,0.45,7.91
264,2640,-01160.16,00001.95,01225.59,0.45,7.93
265,2650,-00785.64,00043.46,01083.98,0.45,8.08
266,2660,-00335.45,00053.71,00831.54,0.45,8.14
267,2670,00161.62,00152.83,00596.68,0.46,8.09
268,2680,00677.25,00332.03,00443.36,0.48,8.21
