,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00081.54,-00073.24,00943.36,0.00,0.02
1,10,-00108.89,-00072.27,00940.92,0.18,9.80
2,20,-00131.84,-00064.45,00959.96,0.00,0.05
3,30,-00139.65,-00068.36,00964.84,0.16,8.30
4,40,-00129.88,-00071.78,00986.82,0.00,0.60
5,50,-00136.72,-00090.33,01018.07,0.17,8.98
6,60,-00112.79,-00091.31,01026.37,0.00,0.00
7,70,-00098.63,-00072.27,01034.67,0.12,7.52
8,80,-00094.73,-00068.36,01032.23,0.00,0.00
9,90,-00074.71,-00066.89,00994.63,0.14,8.59
10,100,-00081.05,-00066.41,00971.19,0.00,1.75
11,110,-00099.12,-00074.22,00958.50,0.14,8.26
12,120,-00159.18,-00061.04,00970.21,0.00,0.00
13,130,-00178.71,-00065.43,00993.16,0.16,8.36
14,140,-00176.76,-00063.48,00996.58,0.00,0.00
15,150,-00197.27,-00061.52,01001.46,0.14,9.27
16,160,-00184.57,-00070.80,00985.35,0.00,0.00
17,170,-00191.89,-00080.57,00991.21,0.15,9.07
18,180,-00181.64,-00094.24,00982.42,0.00,0.20
19,190,-00171.87,-00087.89,00984.37,0.13,8.34
20,200,-00208.50,-00103.03,00967.29,0.00,0.00
21,210,-00245.12,-00083.50,00959.47,0.15,8.30
22,220,-00212.89,-00089.84,00998.05,0.00,0.00
23,230,-00223.14,-00093.26,01004.88,0.15,8.86
24,240,-00252.93,-00089.36,01009.28,0.00,0.00
25,250,-00271.97,-00081.05,00970.21,0.15,9.15
26,260,-00257.32,-00097.17,00932.13,0.00,0.00
27,270,-00262.21,-00110.84,00918.95,0.14,8.76
28,280,-00261.23,-00104.49,00913.09,0.00,0.00
29,290,-00328.12,-00122.07,00943.36,0.15,9.09
30,300,-00335.94,-00110.35,01016.11,0.01,1.23
31,310,-00314.94,-00112.30,01040.04,0.16,8.23
32,320,-00287.11,-00116.70,01063.48,0.00,0.26
33,330,-00207.52,-00119.14,01076.66,0.16,9.28
34,340,-00112.30,-00133.30,01119.63,0.00,0.60
35,350,-00077.15,-00150.39,01138.67,0.14,8.61
36,360,-00100.59,-00146.48,01146.00,0.00,0.00
37,370,-00105.96,-00157.23,01163.09,0.16,9.27
38,380,-00163.09,-00154.79,01142.09,0.00,0.78
39,390,-00267.09,-00149.90,01091.31,0.17,9.08
40,400,-00283.20,-00142.09,01077.15,0.00,0.00
41,410,-00313.48,-00129.88,01028.32,0.16,9.09
42,420,-00297.85,-00132.81,01041.02,0.03,2.07
43,430,-00253.42,-00099.61,01062.01,0.13,8.49
44,440,-00233.89,-00059.57,01062.99,0.02,2.33
45,450,-00167.48,-00051.76,01068.85,0.15,7.75
46,460,-00227.05,-00041.99,01055.66,0.00,0.00
47,470,-00255.37,-00008.30,01039.06,0.16,9.57
48,480,-00258.30,00023.44,01000.49,0.00,0.00
49,490,-00279.79,00011.72,00978.03,0.15,8.98
50,500,-00249.51,00018.55,00973.14,0.00,0.32
51,510,-00243.16,00027.83,00942.38,0.14,8.69
52,520,-00289.06,00052.25,00930.66,0.00,0.00
53,530,-00346.68,00061.04,00903.32,0.16,8.98
54,540,-00357.91,00073.73,00903.81,0.01,2.22
55,550,-00330.57,00073.73,00880.37,0.15,8.61
56,560,-00333.98,00082.52,00844.73,0.00,0.29
57,570,-00333.98,00096.19,00823.73,0.16,8.39
58,580,-00466.80,00109.37,00806.15,0.00,0.00
59,590,-00447.27,00122.56,00792.97,0.13,9.12
60,600,-00405.27,00131.84,00776.86,0.17,8.30
61,610,-00363.28,00118.16,00759.77,0.16,8.81
62,620,-00434.57,00141.60,00777.34,0.08,4.80
63,630,-00447.27,00150.88,00760.74,0.15,9.16
64,640,-00354.98,00166.02,00729.00,0.01,1.11
65,650,-00376.95,00156.74,00734.86,0.16,8.95
66,660,-00411.62,00154.79,00763.18,0.00,0.29
67,670,-00456.54,00156.74,00791.50,0.14,9.22
68,680,-00447.75,00161.13,00796.87,0.01,0.88
69,690,-00457.03,00155.76,00782.23,0.14,8.53
70,700,-00458.50,00162.60,00788.57,0.00,0.00
71,710,-00438.96,00166.02,00806.64,0.15,9.06
72,720,-00418.95,00171.87,00810.06,0.00,0.45
73,730,-00390.14,00182.62,00821.29,0.15,8.69
74,740,-00368.16,00187.01,00818.36,0.00,1.25
75,750,-00358.40,00158.69,00806.15,0.15,8.95
76,760,-00335.45,00141.60,00824.22,0.00,0.00
77,770,-00313.96,00157.71,00810.06,0.16,9.67
78,780,-00325.68,00172.36,00812.99,0.00,0.00
79,790,-00341.80,00145.51,00821.78,0.12,8.76
80,800,-00373.54,00153.81,00831.05,0.00,0.08
81,810,-00397.95,00174.80,00846.68,0.13,8.36
