,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00026.86,00130.37,01011.72,0.00,0.13
1,10,-00033.69,00020.02,01031.74,0.00,0.18
2,20,00020.51,00137.70,01008.30,0.00,0.13
3,30,-00135.25,00097.17,01000.98,0.00,0.16
4,40,-00126.46,00065.43,00997.07,0.00,0.14
5,50,-00028.32,-00031.25,00947.27,0.00,0.15
6,60,-00107.91,00055.18,00875.00,0.00,0.15
7,70,-00070.80,00064.45,00829.10,0.00,0.18
8,80,-00039.06,-00016.11,00853.03,0.00,0.13
9,90,-00039.55,-00036.62,00857.91,0.00,0.18
10,100,-00079.10,-00034.67,00818.85,0.00,0.13
11,110,-00087.40,00004.88,00862.30,0.00,0.16
12,120,-00134.28,00073.73,00961.91,0.00,0.15
13,130,-00176.27,-00045.41,01020.02,0.00,0.18
14,140,-00162.60,-00071.29,01052.73,0.00,0.13
15,150,-00165.53,-00047.36,01037.60,0.00,0.16
16,160,-00222.66,-00040.53,00954.10,0.00,0.15
17,170,-00216.31,-00038.57,00903.32,0.00,0.18
18,180,-00178.71,00004.39,00844.73,0.00,0.14
19,190,-00152.83,00029.79,00788.09,0.00,0.18
20,200,-00149.41,00059.57,00817.87,0.00,0.16
21,210,-00126.46,00114.75,00931.64,0.00,0.17
22,220,-00152.34,00046.39,01032.23,0.00,0.17
23,230,-00160.16,00013.67,01052.73,0.00,0.16
24,240,-00136.72,00018.55,01037.11,0.00,0.13
25,250,-00124.02,00038.57,00948.24,0.00,0.18
26,260,-00099.61,00066.41,00879.39,0.00,0.13
27,270,-00100.59,00104.49,00855.96,0.00,0.15
28,280,-00150.88,00089.84,00830.57,0.00,0.12
29,290,-00213.87,00077.64,00840.82,0.00,0.15
30,300,-00233.89,00083.01,00934.08,0.00,0.00
31,310,-00245.61,00073.24,01032.71,0.00,0.13
32,320,-00271.97,00054.69,01107.91,0.00,0.13
33,330,-00218.26,00058.59,01098.63,0.00,0.18
34,340,-00230.47,00078.12,01071.78,0.00,0.13
35,350,-00210.45,00009.77,01036.13,0.00,0.23
36,360,-00189.94,00014.16,00998.54,0.00,0.12
37,370,-00186.52,00015.63,00970.70,0.00,0.18
38,380,-00185.55,00084.47,00976.07,0.00,0.16
39,390,-00204.10,00069.34,00986.82,0.00,0.17
