,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00334.47,-00037.11,00955.57,0.00,0.06
1,10,-00353.52,-00049.32,00955.57,0.00,0.07
2,20,-00355.47,-00045.41,00962.89,0.00,0.09
3,30,-00346.19,-00040.04,00936.04,0.00,0.09
4,40,-00364.75,-00039.06,00928.71,0.00,0.10
5,50,-00341.80,-00046.88,00933.11,0.00,0.07
6,60,-00359.86,-00042.48,00935.06,0.00,0.10
7,70,-00342.29,-00032.71,00943.36,0.00,0.06
8,80,-00335.45,-00021.48,00954.59,0.00,0.08
9,90,-00351.07,-00031.74,00940.92,0.00,0.10
10,100,-00337.89,-00041.02,00942.87,0.00,0.09
11,110,-00335.45,-00048.83,00931.64,0.00,0.09
12,120,-00342.29,-00046.88,00924.80,0.00,0.10
13,130,-00334.47,-00054.69,00934.57,0.00,0.10
14,140,-00342.29,-00047.85,00941.89,0.00,0.10
15,150,-00350.10,-00045.90,00942.38,0.00,0.07
16,160,-00337.40,-00040.04,00945.31,0.00,0.07
17,170,-00328.12,-00052.25,00935.06,0.00,0.09
18,180,-00344.73,-00034.18,00929.20,0.00,0.08
19,190,-00339.36,-00046.88,00933.59,0.00,0.08
20,200,-00342.77,-00025.88,00930.66,0.00,0.08
21,210,-00345.21,-00044.43,00933.59,0.00,0.07
22,220,-00359.86,-00047.85,00936.52,0.00,0.07
23,230,-00350.59,-00041.50,00934.57,0.00,0.06
24,240,-00357.42,-00050.29,00957.52,0.00,0.09
25,250,-00344.24,-00041.99,00940.92,0.00,0.10
26,260,-00349.61,-00046.39,00934.08,0.00,0.09
27,270,-00350.10,-00032.71,00937.50,0.00,0.10
28,280,-00368.16,-00031.25,00934.08,0.00,0.09
29,290,-00355.96,-00041.50,00937.01,0.00,0.09
30,300,-00364.75,-00047.85,00943.85,0.00,0.10
31,310,-00361.82,-00057.62,00943.36,0.00,0.10
32,320,-00343.26,-00057.62,00954.10,0.00,0.09
33,330,-00340.82,-00051.27,00934.08,0.00,0.10
34,340,-00329.10,-00052.25,00947.27,0.00,0.07
35,350,-00333.50,-00054.69,00945.80,0.00,0.09
36,360,-00346.19,-00050.78,00943.36,0.00,0.09
37,370,-00340.82,-00047.85,00944.34,0.00,0.10
38,380,-00351.07,-00048.83,00953.61,0.00,0.10
39,390,-00352.05,-00041.02,00937.01,0.00,0.09
40,400,-00355.47,-00034.67,00923.83,0.00,0.10
41,410,-00355.47,-00026.86,00932.13,0.00,0.10
42,420,-00356.45,-00044.92,00937.01,0.00,0.09
43,430,-00375.00,-00043.46,00919.92,0.00,0.09
44,440,-00376.95,-00040.53,00913.57,0.00,0.10
45,450,-00360.84,-00043.95,00922.36,0.00,0.10
46,460,-00345.70,-00041.99,00925.29,0.00,0.09
47,470,-00354.49,-00029.79,00919.92,0.00,0.09
48,480,-00341.31,-00037.11,00935.55,0.00,0.10
49,490,-00355.96,-00043.46,00949.22,0.00,0.09
50,500,-00346.68,-00041.99,00937.50,0.00,0.09
51,510,-00349.12,-00047.85,00943.36,0.00,0.09
52,520,-00355.47,-00037.60,00939.94,0.00,0.10
53,530,-00359.86,-00040.04,00924.80,0.00,0.10
54,540,-00364.26,-00047.36,00931.15,0.00,0.10
55,550,-00359.86,-00047.36,00930.66,0.00,0.10
56,560,-00372.07,-00046.88,00925.78,0.00,0.10
57,570,-00376.95,-00060.06,00934.57,0.00,0.10
58,580,-00375.00,-00051.76,00928.71,0.00,0.10
59,590,-00373.54,-00050.29,00934.57,0.00,0.09
60,600,-00377.44,-00060.55,00937.99,0.00,0.10
