,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00098.63,00059.08,00986.33,0.37,11.49
1,10,00094.24,00058.59,00986.33,0.37,11.50
2,20,00095.21,00052.73,00988.77,0.37,11.41
3,30,00085.94,00051.27,00983.89,0.38,11.44
4,40,00088.87,00060.55,00977.54,0.38,11.49
5,50,00100.10,00054.20,00994.63,0.39,11.46
6,60,00093.75,00048.83,00980.47,0.39,11.49
7,70,00106.93,00063.96,00982.91,0.38,11.44
8,80,00092.29,00055.18,00978.03,0.39,11.44
9,90,00085.45,00058.59,00986.82,0.39,11.41
10,100,00094.73,00055.18,00975.10,0.39,11.41
11,110,00092.77,00062.01,00984.86,0.39,11.43
12,120,00092.77,00058.11,00988.77,0.39,11.43
13,130,00088.38,00059.08,00990.72,0.39,11.41
14,140,00099.61,00051.27,00990.72,0.38,11.59
15,150,00101.56,00052.73,00996.09,0.38,11.43
16,160,00090.82,00052.25,00987.30,0.38,11.43
17,170,00096.19,00061.52,00981.45,0.37,11.46
18,180,00089.84,00062.01,00977.54,0.38,11.36
19,190,00090.82,00059.57,00977.54,0.39,11.49
20,200,00097.17,00044.92,00979.98,0.41,11.43
21,210,00078.61,00053.22,00985.35,0.44,11.41
22,220,00102.05,00054.20,00990.72,0.48,11.41
23,230,00085.94,00063.48,00988.28,0.53,11.44
24,240,00089.84,00066.41,00987.30,0.59,11.43
25,250,00077.15,00047.85,00974.12,0.65,11.46
26,260,00084.96,00065.92,00981.93,0.72,11.43
27,270,00108.89,00062.01,00989.75,0.79,11.43
28,280,00085.94,00067.87,00993.16,0.86,11.41
29,290,00094.24,00056.64,00977.54,0.93,11.46
30,300,00097.66,00058.59,00981.93,0.96,11.47
31,310,00089.84,00063.48,00991.21,0.96,11.46
32,320,00082.52,00055.18,00986.33,0.96,11.46
33,330,00099.61,00056.64,00990.23,0.91,11.42
34,340,00107.91,00059.08,00987.79,0.84,11.43
35,350,00083.01,00060.06,00986.33,0.77,11.49
36,360,00081.54,00051.76,00979.98,0.70,11.51
37,370,00090.33,00062.99,00986.33,0.64,11.44
38,380,00090.33,00055.18,00987.79,0.59,11.41
39,390,00089.36,00056.15,00980.96,0.53,11.43
40,400,00093.26,00065.43,00987.79,0.48,11.56
41,410,00091.80,00056.15,00981.45,0.44,11.43
42,420,00088.38,00042.48,00986.82,0.40,11.52
43,430,00090.33,00064.45,00983.89,0.37,11.46
44,440,00088.87,00068.36,00984.37,0.35,11.51
45,450,00093.26,00064.94,00992.19,0.33,11.43
46,460,00080.57,00052.25,00981.93,0.31,11.49
47,470,00074.22,00056.64,00989.75,0.30,11.49
48,480,00096.19,00054.69,00986.82,0.29,11.52
49,490,00085.94,00049.32,00997.07,0.29,11.40
50,500,00076.17,00051.76,00993.65,0.29,11.44
51,510,00083.98,00063.96,00989.75,0.29,11.49
52,520,00087.40,00058.59,00985.84,0.30,11.55
