,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00810.06,-00137.21,00519.04,0.00,0.15
1,10,-00784.67,-00127.93,00521.00,0.00,0.21
2,20,-00771.00,-00138.18,00485.84,0.00,0.16
3,30,-00772.95,-00139.16,00455.57,0.00,0.28
4,40,-00773.44,-00118.65,00475.10,0.00,0.21
5,50,-00814.94,-00096.68,00501.46,0.00,0.24
6,60,-00858.89,-00085.45,00490.23,0.00,0.18
7,70,-00899.41,-00093.75,00486.82,0.00,0.27
8,80,-00899.90,-00091.31,00493.16,0.00,0.20
9,90,-00889.16,-00097.66,00483.40,0.00,0.24
10,100,-00881.35,-00108.40,00436.04,0.00,0.18
11,110,-00861.33,-00124.51,00406.25,0.00,0.25
12,120,-00851.56,-00141.11,00382.32,0.00,0.16
13,130,-00859.37,-00135.74,00357.42,0.00,0.21
14,140,-00866.21,-00088.87,00349.61,0.00,0.16
15,150,-00878.42,-00096.19,00351.07,0.00,0.24
16,160,-00918.46,-00119.14,00336.43,0.00,0.19
17,170,-00921.87,-00166.50,00322.75,0.00,0.29
18,180,-00912.60,-00178.22,00330.08,0.00,0.15
19,190,-00904.30,-00203.12,00332.52,0.00,0.23
20,200,-00900.39,-00218.26,00339.84,0.00,0.13
21,210,-00882.81,-00234.37,00366.21,0.00,0.20
22,220,-00861.33,-00256.35,00313.48,0.00,0.16
23,230,-00869.14,-00301.27,00248.54,0.00,0.23
24,240,-00859.37,-00332.03,00192.87,0.00,0.00
25,250,-00884.28,-00371.09,00097.17,0.00,0.21
26,260,-00907.71,-00382.81,-00004.39,0.00,0.12
27,270,-00919.43,-00415.53,-00013.18,0.00,0.21
28,280,-00936.04,-00437.50,00093.26,0.00,0.13
29,290,-00928.22,-00390.14,00232.42,0.00,0.21
30,300,-00899.41,-00325.20,00381.35,0.00,0.13
31,310,-00850.10,-00287.60,00459.96,0.00,0.20
32,320,-00804.20,-00242.19,00475.10,0.00,0.18
33,330,-00773.93,-00223.14,00495.12,0.00,0.20
34,340,-00764.16,-00228.03,00497.07,0.00,0.18
35,350,-00779.79,-00221.68,00530.76,0.00,0.21
36,360,-00793.46,-00205.57,00557.13,0.00,0.12
37,370,-00809.08,-00191.41,00586.91,0.00,0.21
38,380,-00807.62,-00190.43,00600.59,0.00,0.14
39,390,-00821.29,-00182.62,00605.96,0.00,0.21
40,400,-00845.21,-00150.88,00593.75,0.00,0.12
41,410,-00892.09,-00123.05,00545.41,0.00,0.20
42,420,-00929.69,-00153.81,00514.16,0.00,0.00
43,430,-00991.70,-00152.83,00506.35,0.00,0.16
44,440,-01040.53,-00164.55,00502.93,0.00,0.18
45,450,-01077.64,-00188.48,00482.42,0.00,0.23
46,460,-01081.54,-00204.59,00437.99,0.00,0.19
47,470,-01067.87,-00239.75,00394.53,0.00,0.23
48,480,-01169.92,-00243.16,00333.01,0.00,0.21
49,490,-01144.53,-00297.85,00296.39,0.00,0.26
50,500,-01107.91,-00322.75,00296.87,0.00,0.16
51,510,-01145.02,-00325.68,00297.85,0.00,0.26
52,520,-01164.55,-00333.50,00270.02,0.00,0.12
53,530,-01163.09,-00339.36,00244.14,0.00,0.20
54,540,-01149.41,-00362.79,00263.18,0.00,0.13
55,550,-01110.84,-00372.07,00267.58,0.00,0.19
56,560,-01024.41,-00347.66,00319.82,0.00,0.10
