,time,acc_x,acc_y,acc_z,pulse,eda
1366,13660,666.5,546.87,-602.05,0.0,0.12
1367,13670,688.96,540.53,-577.15,0.0,0.16
1368,13680,718.75,536.62,-557.13,0.0,0.16
1369,13690,742.19,526.86,-527.34,0.0,0.13
1370,13700,773.44,517.58,-509.77,0.0,0.0
1371,13710,768.55,517.58,-510.25,0.0,0.1
1372,13720,783.2,514.65,-521.0,0.0,0.11
1373,13730,791.02,513.18,-534.67,0.0,0.11
1374,13740,791.5,480.96,-575.68,0.0,0.0
1375,13750,770.02,491.21,-605.96,0.0,0.15
1376,13760,776.37,469.24,-602.05,0.0,0.0
1377,13770,768.07,463.87,-619.63,0.0,0.0
1378,13780,759.28,466.8,-601.07,0.0,0.1
1379,13790,753.91,450.68,-593.26,0.0,0.13
1380,13800,758.3,432.13,-565.92,0.0,0.15
1381,13810,743.65,438.48,-562.5,0.0,0.13
1382,13820,741.7,423.34,-545.9,0.0,0.14
1383,13830,718.26,427.25,-549.32,0.0,0.13
1384,13840,701.17,407.23,-528.81,0.0,0.15
1385,13850,701.17,403.81,-521.48,0.0,0.13
1386,13860,689.45,398.44,-512.21,0.0,0.13
1387,13870,661.62,431.15,-500.49,0.0,0.14
1388,13880,675.29,425.78,-508.79,0.0,0.12
1389,13890,682.62,433.11,-508.3,0.0,0.14
1390,13900,678.71,458.98,-505.37,0.0,0.15
1391,13910,670.9,463.38,-515.62,0.0,0.16
1392,13920,670.41,471.68,-516.11,0.0,0.12
1393,13930,649.9,493.65,-527.83,0.0,0.13
1394,13940,667.48,489.26,-560.55,0.0,0.11
1395,13950,662.6,495.12,-555.66,0.0,0.13
1396,13960,654.79,512.21,-543.95,0.0,0.12
1397,13970,665.04,523.93,-547.36,0.0,0.13
1398,13980,668.46,498.05,-532.71,0.0,0.12
1399,13990,671.39,496.09,-494.63,0.0,0.14
1400,14000,666.99,483.89,-488.77,0.0,0.13
1401,14010,668.46,486.82,-498.05,0.0,0.13
1402,14020,658.69,495.61,-496.09,0.0,0.1
1403,14030,655.76,479.98,-499.02,0.0,0.14
1404,14040,663.57,458.01,-493.65,0.0,0.11
1405,14050,666.99,474.61,-523.44,0.0,0.13
1406,14060,667.97,460.45,-518.07,0.0,0.13
1407,14070,666.02,463.87,-521.97,0.0,0.13
1408,14080,685.06,446.29,-521.48,0.0,0.12
1409,14090,695.31,456.05,-532.23,0.0,0.14
1410,14100,692.87,448.24,-541.99,0.0,0.14
1411,14110,686.52,432.13,-536.62,0.0,0.13
1412,14120,713.87,421.87,-534.67,0.0,0.12
1413,14130,706.05,413.57,-520.51,0.0,0.13
1414,14140,718.75,410.16,-509.28,0.0,0.12
1415,14150,742.68,408.2,-490.72,0.0,0.14
1416,14160,749.51,420.9,-505.86,0.0,0.13
1417,14170,761.72,427.73,-508.79,0.0,0.15
1418,14180,721.19,427.25,-539.55,0.0,0.12
1419,14190,717.77,448.24,-593.26,0.0,0.14
1420,14200,724.12,447.27,-621.58,0.0,0.12
1421,14210,752.44,445.31,-637.21,0.0,0.12
1422,14220,765.14,430.18,-651.86,0.0,0.13
1423,14230,764.65,423.34,-659.67,0.0,0.12
1424,14240,645.51,434.57,-671.39,0.0,0.1
1425,14250,624.51,462.89,-756.35,0.0,0.13
1426,14260,515.14,477.54,-793.95,0.0,0.13
1427,14270,505.37,465.33,-841.31,0.0,0.27
1428,14280,478.52,461.91,-850.1,0.0,0.1
1429,14290,455.08,466.31,-826.17,0.0,0.14
1430,14300,471.68,485.84,-800.78,0.0,0.1
1431,14310,471.19,475.59,-811.52,0.0,0.13
1432,14320,477.05,482.42,-804.69,0.0,0.1
1433,14330,472.66,514.16,-809.57,0.0,0.12
1434,14340,463.38,511.72,-806.64,0.0,0.12
1435,14350,458.98,544.43,-824.71,0.0,0.12
1436,14360,416.5,511.23,-846.68,0.0,0.1
1437,14370,436.04,525.39,-877.93,0.0,0.12
1438,14380,405.76,527.34,-901.37,0.0,0.1
1439,14390,379.39,530.27,-908.2,0.0,0.13
1440,14400,367.68,521.48,-933.11,0.0,0.1
1441,14410,339.36,480.47,-944.82,0.0,0.12
1442,14420,361.82,487.79,-957.03,0.0,0.1
1443,14430,363.28,467.77,-934.57,0.0,0.12
1444,14440,355.96,462.89,-909.67,0.0,0.11
1445,14450,322.27,442.87,-883.3,0.0,0.12
1446,14460,293.46,400.88,-843.75,0.0,0.1
1447,14470,271.48,378.91,-811.52,0.0,0.11
1448,14480,264.65,316.89,-801.27,0.0,0.1
1449,14490,242.19,302.73,-817.87,0.0,0.11
1450,14500,328.61,250.49,-832.52,0.0,0.1
1451,14510,373.05,222.17,-856.45,0.0,0.13
1452,14520,423.34,201.17,-873.54,0.0,0.1
1453,14530,467.77,167.48,-904.79,0.0,0.11
1454,14540,546.87,129.88,-941.89,0.0,0.11
1455,14550,641.6,103.52,-1000.98,0.0,0.11
1456,14560,761.72,74.71,-1038.09,0.0,0.1
1457,14570,799.8,29.3,-1060.06,0.0,0.13
1458,14580,828.12,-21.97,-1062.01,0.0,0.11
1459,14590,854.49,-82.52,-1077.64,0.0,0.11
1460,14600,850.1,-149.41,-1095.21,0.0,0.13
1461,14610,813.48,-173.34,-1090.33,0.0,0.17
1462,14620,837.4,-147.46,-1121.09,0.0,0.11
1463,14630,825.68,-236.82,-1203.13,0.0,0.17
1464,14640,999.51,-207.03,-1235.84,0.0,0.1
1465,14650,1063.96,-219.24,-1227.54,0.0,0.13
1466,14660,1058.11,-231.93,-1151.86,0.0,0.11
1467,14670,1015.14,-215.82,-1064.94,0.0,0.13
1468,14680,956.05,-224.12,-974.12,0.0,0.13
1469,14690,829.59,-205.08,-891.11,0.0,0.13
1470,14700,700.2,-170.9,-805.18,0.0,0.13
1471,14710,526.37,-165.04,-747.07,0.0,0.13
1472,14720,447.27,-105.47,-684.08,0.0,0.13
1473,14730,538.57,-99.12,-719.24,0.0,0.14
1474,14740,623.54,-60.55,-721.19,0.0,0.13
1475,14750,652.83,-45.9,-748.05,0.0,0.14
1476,14760,644.04,-16.6,-795.9,0.0,0.13
1477,14770,781.74,-9.28,-890.62,0.0,0.14
1478,14780,917.48,83.5,-998.54,0.0,0.14
1479,14790,769.04,102.05,-1097.17,0.0,0.13
1480,14800,717.29,-20.02,-1136.72,0.0,0.12
1481,14810,710.94,-110.35,-1113.77,0.0,0.29
1482,14820,427.25,-206.05,-1081.05,0.0,0.14
1483,14830,304.69,-294.92,-1056.64,0.0,0.16
1484,14840,88.38,-354.98,-996.09,0.0,0.0
1485,14850,-247.07,-489.26,-917.48,0.0,0.16
1486,14860,-525.88,-625.98,-925.29,0.0,0.16
1487,14870,-647.46,-712.4,-915.04,0.0,0.16
1488,14880,-697.27,-770.51,-908.69,0.0,0.21
1489,14890,-763.67,-786.13,-936.04,0.0,0.0
1490,14900,-917.48,-834.96,-947.75,0.0,0.21
1491,14910,-731.93,-849.61,-802.73,0.0,0.15
1492,14920,-750.98,-1133.79,-613.77,0.0,0.21
1493,14930,-936.52,-1508.3,-305.18,0.0,0.12
1494,14940,-1317.87,-1797.85,250.98,0.0,0.28
1495,14950,-1906.25,-1995.61,1255.37,0.0,0.17
1496,14960,-2000.0,-2000.0,1825.2,0.0,0.16
1497,14970,-1797.36,-1335.94,918.46,0.0,0.14
1498,14980,-2000.0,-860.84,53.22,0.0,0.2
1499,14990,-2000.0,-529.3,13.67,0.0,0.13
1500,15000,-1812.01,-825.68,97.17,0.0,0.23
1501,15010,-995.61,-937.5,341.31,0.0,0.04
1502,15020,-110.84,-609.37,688.48,0.0,0.26
1503,15030,81.54,-517.09,676.76,0.0,0.04
1504,15040,764.16,-751.95,717.29,0.0,0.27
1505,15050,1391.11,-787.11,1217.77,0.0,0.04
1506,15060,1253.91,-777.83,1563.96,0.0,0.23
1507,15070,938.48,-729.0,1675.29,0.0,0.02
1508,15080,796.87,-573.73,1686.52,0.0,0.23
1509,15090,664.06,-458.5,1702.15,0.0,0.01
1510,15100,482.42,-377.93,1678.22,0.0,0.25
1511,15110,305.18,-364.75,1594.73,0.0,0.02
1512,15120,65.43,-310.06,1580.57,0.0,0.25
1513,15130,-268.07,-248.54,1590.33,0.0,0.07
1514,15140,208.5,-234.86,1715.33,0.0,0.26
1515,15150,297.85,-245.12,1772.95,0.0,0.06
1516,15160,-7.81,-171.39,1695.8,0.0,0.29
1517,15170,141.6,-118.65,1570.31,0.0,0.1
1518,15180,248.05,-140.62,1469.24,0.0,0.26
1519,15190,89.36,-144.53,1350.59,0.0,0.07
1520,15200,-46.39,-185.06,1242.68,0.0,0.27
1521,15210,-151.86,-171.39,1125.0,0.0,0.08
1522,15220,-279.79,-110.84,1008.79,0.0,0.28
1523,15230,-374.02,-124.02,930.18,0.0,0.09
1524,15240,-433.59,-146.48,872.07,0.0,0.26
1525,15250,-527.34,-105.47,867.68,0.0,0.09
1526,15260,-589.84,-90.82,961.43,0.0,0.29
1527,15270,-474.61,47.36,1006.35,0.0,0.09
1528,15280,-354.98,13.18,962.4,0.0,0.28
1529,15290,-260.25,-30.76,962.89,0.0,0.09
1530,15300,-186.52,-83.98,957.52,0.0,0.29
1531,15310,-121.09,-185.06,913.09,0.0,0.08
1532,15320,-82.52,-262.7,882.81,0.0,0.29
1533,15330,-21.0,-259.77,856.45,0.0,0.09
1534,15340,-8.79,-257.81,855.47,0.0,0.29
1535,15350,-43.46,-258.79,876.95,0.0,0.12
1536,15360,-149.9,-307.13,934.08,0.0,0.29
1537,15370,-289.06,-333.5,992.19,0.0,0.1
1538,15380,-424.8,-386.72,1129.39,0.0,0.3
1539,15390,-464.36,-435.06,1182.62,0.0,0.1
1540,15400,-560.55,-480.96,1136.23,0.0,0.28
1541,15410,-616.7,-465.33,1059.08,0.0,0.09
1542,15420,-572.27,-475.1,1065.92,0.0,0.28
1543,15430,-585.94,-478.03,971.19,0.0,0.05
1544,15440,-652.34,-464.84,866.21,0.0,0.26
1545,15450,-655.76,-412.11,794.43,0.0,0.07
1546,15460,-708.98,-443.36,831.54,0.0,0.27
1547,15470,-704.1,-399.41,832.52,0.0,0.06
1548,15480,-710.45,-415.04,787.11,0.0,0.28
1549,15490,-650.88,-393.55,824.71,0.0,0.07
1550,15500,-595.7,-348.14,783.2,0.0,0.26
1551,15510,-583.01,-358.89,699.22,0.0,0.07
1552,15520,-700.2,-336.91,648.44,0.0,0.26
1553,15530,-681.15,-313.48,614.75,0.0,0.05
1554,15540,-837.89,-346.19,559.08,0.0,0.27
1555,15550,-895.02,-338.87,500.0,0.0,0.06
1556,15560,-907.71,-348.63,494.14,0.0,0.28
1557,15570,-960.94,-362.3,460.94,0.0,0.06
1558,15580,-937.01,-369.63,352.05,0.0,0.27
1559,15590,-953.61,-343.75,266.11,0.0,0.07
1560,15600,-1004.39,-306.15,237.79,0.0,0.27
1561,15610,-1067.38,-337.89,225.1,0.0,0.07
1562,15620,-1138.18,-359.37,180.18,0.0,0.31
1563,15630,-1157.71,-354.49,142.09,0.0,0.08
1564,15640,-1173.34,-340.33,81.54,0.0,0.26
1565,15650,-1186.52,-342.77,96.19,0.0,0.07
1566,15660,-1178.71,-315.92,148.93,0.0,0.27
1567,15670,-1092.77,-322.27,207.52,0.0,0.1
1568,15680,-1013.18,-334.47,256.84,0.0,0.29
1569,15690,-983.89,-341.31,348.14,0.0,0.05
1570,15700,-970.21,-352.05,424.32,0.0,0.26
1571,15710,-942.38,-380.86,474.12,0.0,0.09
1572,15720,-884.77,-379.88,500.0,0.0,0.27
1573,15730,-851.56,-376.95,513.67,0.0,0.07
1574,15740,-845.21,-370.61,520.02,0.0,0.27
1575,15750,-823.24,-353.52,509.28,0.0,0.07
1576,15760,-815.43,-365.72,481.45,0.0,0.26
1577,15770,-865.72,-358.89,427.25,0.0,0.08
1578,15780,-878.42,-357.42,391.11,0.0,0.25
1579,15790,-889.16,-367.68,302.25,0.0,0.09
1580,15800,-1009.28,-350.1,323.73,0.0,0.27
1581,15810,-1049.32,-358.89,341.8,0.0,0.09
1582,15820,-1030.76,-385.25,339.36,0.0,0.29
1583,15830,-971.19,-379.39,381.84,0.0,0.07
1584,15840,-931.15,-357.42,412.6,0.0,0.29
1585,15850,-901.86,-371.09,476.56,0.0,0.08
1586,15860,-856.45,-377.44,549.32,0.0,0.26
1587,15870,-823.73,-377.44,596.68,0.0,0.07
1588,15880,-778.81,-379.88,642.09,0.0,0.28
1589,15890,-719.73,-373.54,698.73,0.0,0.06
1590,15900,-659.67,-379.39,717.77,0.0,0.26
1591,15910,-595.21,-373.05,782.71,0.0,0.06
1592,15920,-547.85,-383.3,833.98,0.0,0.26
1593,15930,-498.54,-390.62,848.63,0.0,0.07
1594,15940,-440.43,-379.39,850.59,0.0,0.26
1595,15950,-387.7,-377.93,849.61,0.0,0.07
1596,15960,-373.54,-400.88,845.7,0.0,0.25
1597,15970,-335.45,-414.55,845.21,0.0,0.1
1598,15980,-302.25,-412.6,842.77,0.0,0.26
1599,15990,-287.6,-416.99,854.49,0.0,0.1
1600,16000,-269.53,-425.29,875.49,0.0,0.26
1601,16010,-240.23,-402.34,896.97,0.0,0.07
1602,16020,-228.52,-412.11,945.31,0.0,0.24
1603,16030,-196.29,-396.97,1015.14,0.0,0.09
1604,16040,-158.2,-421.39,1000.98,0.0,0.26
1605,16050,-149.9,-420.41,959.47,0.0,0.1
1606,16060,-205.57,-368.65,896.48,0.0,0.27
1607,16070,-244.63,-379.88,881.35,0.0,0.08
1608,16080,-298.34,-368.16,851.07,0.0,0.25
1609,16090,-291.5,-354.49,855.47,0.0,0.07
1610,16100,-276.37,-350.1,858.4,0.0,0.29
1611,16110,-254.88,-330.57,984.86,0.0,0.06
1612,16120,-219.24,-370.12,1131.84,0.0,0.3
1613,16130,-95.7,-452.64,1125.0,0.0,0.07
1614,16140,-27.83,-406.74,1044.43,0.0,0.28
1615,16150,-29.3,-289.55,956.54,0.0,0.09
1616,16160,-80.08,-242.19,910.64,0.0,0.29
1617,16170,-156.74,-252.93,865.23,0.0,0.1
1618,16180,-216.31,-273.93,863.28,0.0,0.26
1619,16190,-331.54,-301.27,891.6,0.0,0.1
1620,16200,-391.11,-337.4,903.81,0.0,0.27
1621,16210,-460.45,-335.45,885.25,0.0,0.07
1622,16220,-522.46,-301.27,861.82,0.0,0.27
1623,16230,-568.85,-277.34,803.22,0.0,0.09
1624,16240,-631.35,-253.42,769.04,0.0,0.28
1625,16250,-662.6,-229.0,748.54,0.0,0.1
1626,16260,-669.43,-189.45,724.61,0.0,0.29
1627,16270,-682.62,-169.43,712.89,0.0,0.18
1628,16280,-695.31,-163.09,722.66,0.0,0.26
1629,16290,-682.13,-160.16,690.92,0.0,0.1
1630,16300,-678.71,-167.48,656.25,0.0,0.26
1631,16310,-679.2,-139.16,610.84,0.0,0.07
1632,16320,-694.34,-131.35,558.11,0.0,0.27
1633,16330,-696.29,-96.19,543.95,0.0,0.09
1634,16340,-705.08,-112.3,574.71,0.0,0.31
1635,16350,-656.25,-127.93,659.67,0.0,0.1
1636,16360,-561.52,-180.18,703.12,0.0,0.29
1637,16370,-495.61,-175.29,665.04,0.0,0.1
1638,16380,-521.48,-138.67,602.05,0.0,0.1
1639,16390,-583.5,-110.35,518.55,0.0,0.1
1640,16400,-612.79,-107.42,499.02,0.0,0.0
1641,16410,-656.25,-102.05,514.65,0.0,0.14
1642,16420,-646.97,-112.3,629.88,0.0,0.29
1643,16430,-600.59,-157.23,687.99,0.0,0.1
1644,16440,-536.62,-170.41,662.11,0.0,0.31
1645,16450,-493.16,-144.04,626.95,0.0,0.1
1646,16460,-512.21,-155.27,561.04,0.0,0.29
1647,16470,-563.48,-157.23,499.51,0.0,0.1
1648,16480,-615.23,-157.23,504.39,0.0,0.29
1649,16490,-652.34,-187.99,510.25,0.0,0.07
1650,16500,-668.46,-213.38,470.21,0.0,0.26
1651,16510,-669.92,-220.7,432.13,0.0,0.09
1652,16520,-666.02,-229.0,433.11,0.0,0.21
1653,16530,-673.34,-269.53,404.79,0.0,0.07
1654,16540,-718.75,-287.11,386.23,0.0,0.24
1655,16550,-780.76,-310.06,369.63,0.0,0.08
1656,16560,-871.09,-316.89,378.91,0.0,0.26
1657,16570,-924.32,-316.41,369.63,0.0,0.08
1658,16580,-981.45,-310.06,350.1,0.0,0.24
1659,16590,-1021.97,-301.76,332.52,0.0,0.07
1660,16600,-1065.92,-300.29,320.8,0.0,0.27
1661,16610,-1090.33,-256.84,343.75,0.0,0.1
1662,16620,-1106.45,-318.36,321.78,0.0,0.26
1663,16630,-1123.54,-317.38,331.05,0.0,0.07
1664,16640,-1142.09,-326.17,305.18,0.0,0.25
1665,16650,-1134.77,-341.31,323.24,0.0,0.09
1666,16660,-1110.84,-345.7,329.1,0.0,0.26
1667,16670,-1083.01,-373.05,362.3,0.0,0.1
1668,16680,-1039.06,-369.63,351.07,0.0,0.26
1669,16690,-1008.79,-359.37,332.52,0.0,0.07
1670,16700,-997.07,-374.51,333.98,0.0,0.21
1671,16710,-1009.28,-367.19,313.48,0.0,0.07
1672,16720,-1052.25,-359.86,296.39,0.0,0.24
1673,16730,-1075.2,-368.16,253.91,0.0,0.07
1674,16740,-1126.46,-379.88,214.36,0.0,0.23
1675,16750,-1238.77,-419.92,171.87,0.0,0.09
1676,16760,-1332.52,-457.52,129.88,0.0,0.24
1677,16770,-1389.65,-480.96,31.74,0.0,0.1
1678,16780,-1531.25,-467.29,-74.22,0.0,0.24
1679,16790,-1627.44,-431.15,-163.57,0.0,0.1
1680,16800,-1584.96,-397.46,-217.29,0.0,0.26
1681,16810,-1505.37,-354.0,-216.8,0.0,0.1
1682,16820,-1450.2,-320.8,-192.38,0.0,0.25
1683,16830,-1343.75,-337.89,-147.95,0.0,0.1
1684,16840,-1296.39,-345.7,-99.61,0.0,0.23
1685,16850,-1317.87,-365.72,-36.13,0.0,0.1
1686,16860,-1245.12,-389.65,16.11,0.0,0.24
1687,16870,-1160.16,-369.14,47.36,0.0,0.1
1688,16880,-1062.01,-343.26,99.12,0.0,0.2
1689,16890,-1007.32,-309.57,164.06,0.0,0.06
1690,16900,-952.64,-289.55,216.31,0.0,0.13
1691,16910,-928.22,-264.65,258.79,0.0,0.03
1692,16920,-910.64,-273.44,379.88,0.0,0.12
1693,16930,-912.6,-306.15,504.39,0.0,0.0
1694,16940,-1219.24,-321.78,655.27,0.0,0.06
1695,16950,-1223.63,-287.6,679.69,0.0,0.0
1696,16960,-1025.88,-298.34,661.13,0.0,0.31
1697,16970,-935.06,-325.2,687.5,0.0,0.15
1698,16980,-577.15,-291.99,695.8,0.0,0.25
1699,16990,-437.99,-229.49,713.87,0.0,0.1
1700,17000,-374.51,-137.21,791.99,0.0,0.27
1701,17010,-392.09,-177.25,871.58,0.0,0.12
1702,17020,-360.84,-260.74,871.58,0.0,0.24
1703,17030,-250.0,-241.7,856.93,0.0,0.2
1704,17040,-58.11,-110.35,824.22,0.0,0.29
1705,17050,4.39,17.09,758.79,0.0,0.31
1706,17060,-25.39,38.57,743.16,0.0,0.26
1707,17070,-213.87,9.28,765.62,0.0,0.14
1708,17080,-390.14,-58.11,803.71,0.0,0.2
1709,17090,-534.67,-94.73,836.91,0.0,0.07
1710,17100,-456.05,-68.85,816.89,0.0,0.2
1711,17110,-406.25,-32.71,779.3,0.0,0.09
1712,17120,-343.75,46.88,750.0,0.0,0.26
1713,17130,-312.01,90.82,701.66,0.0,0.12
1714,17140,-200.68,145.02,708.98,0.0,0.28
1715,17150,-99.12,198.73,788.57,0.0,0.12
1716,17160,-73.24,218.75,872.07,0.0,0.31
1717,17170,-39.06,210.45,857.91,0.0,0.15
1718,17180,-33.2,225.59,920.9,0.0,0.31
1719,17190,-125.0,233.4,920.9,0.0,0.11
1720,17200,-106.45,227.05,931.15,0.0,0.27
1721,17210,-100.59,244.14,912.6,0.0,0.09
1722,17220,-112.79,266.6,899.9,0.0,0.21
1723,17230,-188.96,246.09,909.18,0.0,0.06
1724,17240,-251.95,212.4,919.92,0.0,0.2
1725,17250,-278.81,188.96,924.32,0.0,0.08
1726,17260,-281.25,214.36,902.34,0.0,0.24
1727,17270,-282.71,239.26,847.17,0.0,0.09
1728,17280,-160.16,303.71,845.21,0.0,0.23
1729,17290,15.14,330.57,885.74,0.0,0.1
1730,17300,49.32,357.42,907.23,0.0,0.26
1731,17310,77.64,375.98,916.99,0.0,0.12
1732,17320,-60.55,353.03,935.06,0.0,0.27
1733,17330,-178.22,322.27,897.95,0.0,0.1
1734,17340,-238.28,324.22,958.5,0.0,0.29
1735,17350,-362.79,304.69,968.75,0.0,0.1
1736,17360,-278.81,277.34,928.22,0.0,0.29
1737,17370,-95.7,385.74,869.14,0.0,0.11
1738,17380,-69.34,500.0,835.94,0.0,0.29
1739,17390,-126.95,526.37,737.3,0.0,0.13
1740,17400,-83.01,549.32,698.24,0.0,0.32
1741,17410,-112.79,571.78,641.6,0.0,0.15
1742,17420,-120.12,570.8,615.23,0.0,0.38
1743,17430,-130.86,596.68,560.55,0.0,0.11
1744,17440,-115.72,601.07,557.13,0.0,0.33
1745,17450,-54.2,627.44,592.29,0.0,0.12
1746,17460,27.83,617.19,619.14,0.0,0.32
1747,17470,123.05,604.49,601.07,0.0,0.1
1748,17480,205.08,620.61,569.82,0.0,0.3
1749,17490,233.4,672.36,546.39,0.0,0.1
1750,17500,211.43,582.52,550.78,0.0,0.29
1751,17510,162.11,597.17,588.87,0.0,0.1
1752,17520,208.98,606.45,625.0,0.0,0.29
1753,17530,201.66,654.79,680.66,0.0,0.1
1754,17540,121.09,698.73,737.79,0.0,0.29
1755,17550,21.0,701.66,804.69,0.0,0.09
1756,17560,-164.55,705.57,883.3,0.0,0.29
1757,17570,-331.54,697.75,908.2,0.0,0.1
1758,17580,-470.21,584.47,882.81,0.0,0.26
1759,17590,-528.32,600.59,792.97,0.0,0.08
1760,17600,-547.36,740.72,685.06,0.0,0.29
1761,17610,-552.25,449.22,630.37,0.0,0.09
1762,17620,-693.85,511.23,579.1,0.0,0.26
1763,17630,-576.66,499.51,563.96,0.0,0.08
1764,17640,-485.84,476.07,550.29,0.0,0.26
1765,17650,-523.93,421.39,657.23,0.0,0.07
1766,17660,-549.8,394.53,703.12,0.0,0.27
1767,17670,-479.98,308.11,780.76,0.0,0.07
1768,17680,-366.21,351.56,781.74,0.0,0.27
1769,17690,-253.42,419.92,750.0,0.0,0.08
1770,17700,-187.5,548.83,720.21,0.0,0.29
1771,17710,-158.2,527.83,752.93,0.0,0.09
1772,17720,-273.44,570.8,828.61,0.0,0.29
1773,17730,-128.91,416.02,861.82,0.0,0.07
1774,17740,-99.12,342.29,899.41,0.0,0.29
1775,17750,-231.45,336.43,912.6,0.0,0.1
1776,17760,-323.24,296.87,916.02,0.0,0.29
1777,17770,-348.63,218.26,940.92,0.0,0.1
1778,17780,-521.48,181.64,943.85,0.0,0.27
1779,17790,-647.95,164.06,917.97,0.0,0.1
1780,17800,-640.62,161.62,896.97,0.0,0.29
1781,17810,-673.34,124.02,859.86,0.0,0.05
1782,17820,-601.56,169.92,828.61,0.0,0.29
1783,17830,-579.1,159.67,778.32,0.0,0.08
1784,17840,-567.87,147.46,774.9,0.0,0.29
1785,17850,-526.37,112.3,826.66,0.0,0.08
1786,17860,-434.57,142.58,817.87,0.0,0.29
1787,17870,-359.37,169.43,780.76,0.0,0.09
1788,17880,-374.51,178.71,763.18,0.0,0.26
1789,17890,-361.33,163.57,766.6,0.0,0.07
1790,17900,-334.47,167.48,767.58,0.0,0.26
1791,17910,-348.14,134.77,790.04,0.0,0.09
1792,17920,-382.32,148.44,839.36,0.0,0.29
1793,17930,-375.98,149.41,861.82,0.0,0.07
1794,17940,-371.09,131.84,894.04,0.0,0.29
1795,17950,-391.11,116.21,901.37,0.0,0.06
1796,17960,-459.96,103.52,900.88,0.0,0.29
1797,17970,-546.39,90.82,952.64,0.0,0.06
1798,17980,-621.58,64.45,977.05,0.0,0.29
1799,17990,-661.62,53.22,965.33,0.0,0.06
1800,18000,-718.75,8.79,944.34,0.0,0.26
1801,18010,-727.05,-25.88,929.2,0.0,0.07
1802,18020,-779.3,-60.06,870.12,0.0,0.28
1803,18030,-893.07,-41.5,864.26,0.0,0.07
1804,18040,-960.45,-41.02,887.21,0.0,0.39
1805,18050,-1009.77,-83.01,900.39,0.0,0.05
1806,18060,-917.97,-51.27,942.38,0.0,0.29
1807,18070,-783.2,-61.52,953.12,0.0,0.06
1808,18080,-770.51,-75.68,949.71,0.0,0.29
1809,18090,-758.79,-40.04,996.58,0.0,0.18
1810,18100,-729.0,19.04,1115.72,0.0,0.29
1811,18110,-737.3,-43.95,1208.5,0.0,0.07
1812,18120,-679.2,-86.91,1199.22,0.0,0.3
1813,18130,-584.96,-191.41,1151.86,0.0,0.07
1814,18140,-383.3,-368.65,1086.43,0.0,0.31
1815,18150,-163.57,-514.65,1170.9,0.0,0.04
1816,18160,81.05,-638.18,1123.54,0.0,0.28
1817,18170,413.09,-605.96,1032.71,0.0,0.05
1818,18180,710.94,-594.24,938.48,0.0,0.21
1819,18190,778.81,-413.09,815.92,0.0,0.0
1820,18200,751.46,-205.08,714.36,0.0,0.06
1821,18210,686.52,-122.07,654.3,0.0,0.0
1822,18220,484.86,-30.76,589.84,0.0,0.0
1823,18230,41.99,42.97,576.17,0.0,0.0
1824,18240,-186.04,243.16,501.95,0.0,0.0
1825,18250,-405.27,299.8,472.17,0.0,0.0
1826,18260,-658.69,292.48,428.22,0.0,0.0
1827,18270,-911.13,226.07,371.58,0.0,0.0
1828,18280,-1159.67,203.61,311.52,0.0,0.0
1829,18290,-1141.6,209.96,267.09,0.0,0.0
1830,18300,-1179.69,555.18,293.46,0.0,0.0
1831,18310,-1201.66,423.83,264.65,0.0,0.0
1832,18320,-1159.18,554.2,304.69,0.0,0.23
1833,18330,-1075.2,567.87,452.15,0.0,0.21
1834,18340,-817.87,495.61,564.94,0.0,0.43
1835,18350,-664.06,437.5,678.22,0.0,0.31
1836,18360,-509.77,510.74,774.9,0.0,0.38
1837,18370,-359.37,505.37,808.59,0.0,0.27
1838,18380,-300.78,524.9,790.53,0.0,0.34
1839,18390,-197.75,561.52,758.3,0.0,0.26
1840,18400,-160.64,583.01,739.26,0.0,0.35
1841,18410,-164.06,579.59,691.41,0.0,0.29
1842,18420,-201.17,611.82,661.13,0.0,0.37
1843,18430,-261.23,605.96,649.9,0.0,0.29
1844,18440,-269.53,556.15,701.17,0.0,0.35
1845,18450,-282.23,484.86,831.05,0.0,0.29
