,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00360.35,-00004.88,01046.39,0.57,12.62
1,10,-00863.77,-00149.90,01225.59,0.58,12.70
2,20,-01048.34,-00168.95,01335.94,0.60,12.69
3,30,-01076.17,-00260.25,01390.14,0.63,12.54
4,40,-00990.23,-00274.41,01317.87,0.66,12.54
5,50,-00700.20,-00228.52,01193.36,0.69,12.38
6,60,-00305.18,-00152.83,01018.55,0.71,12.38
7,70,00177.25,-00084.47,00864.26,0.71,12.37
8,80,00505.37,-00032.71,00765.62,0.70,12.34
9,90,00533.69,-00057.62,00801.27,0.67,12.21
10,100,00394.53,-00064.45,00839.84,0.64,12.30
11,110,00237.79,-00049.32,00863.28,0.59,12.21
12,120,00113.77,-00053.22,00891.11,0.55,12.21
13,130,-00041.50,-00026.37,00934.08,0.50,12.13
14,140,-00041.50,-00068.36,00906.74,0.46,12.21
15,150,-00044.92,-00002.44,00993.65,0.43,12.14
16,160,-00184.57,-00074.22,01022.46,0.39,12.18
17,170,-00334.96,-00039.06,01007.81,0.36,12.07
18,180,-00374.51,-00078.12,00999.02,0.34,12.09
19,190,-00329.10,-00082.03,01002.93,0.33,12.01
20,200,-00287.60,-00115.72,01011.72,0.32,12.09
21,210,-00201.17,-00134.77,01066.89,0.32,11.99
22,220,-00159.67,-00154.79,01109.86,0.32,11.98
23,230,-00481.93,-00127.44,01239.75,0.33,11.94
24,240,-00840.82,-00004.88,01244.63,0.35,11.86
25,250,-01023.93,00072.27,01231.93,0.37,11.85
26,260,-01322.27,00155.27,01197.27,0.39,11.87
27,270,-01354.00,00231.45,01104.49,0.41,11.84
28,280,-01213.87,00291.02,01027.34,0.43,11.88
29,290,-01018.55,00270.51,00937.99,0.45,11.82
30,300,-00649.41,00181.15,00848.63,0.46,11.91
31,310,-00435.55,00035.16,00785.16,0.47,11.89
32,320,-00142.58,-00110.35,00597.17,0.46,11.94
33,330,00360.35,-00301.27,00386.23,0.46,11.95
34,340,00831.05,-00385.25,00306.64,0.45,12.19
35,350,01071.29,-00431.15,00550.29,0.41,12.19
36,360,01456.54,-00354.49,00903.81,0.36,12.45
37,370,01322.75,-00227.05,01170.41,0.29,12.60
38,380,00876.46,-00147.46,01185.06,0.21,12.79
39,390,00451.66,-00051.27,01028.81,0.14,12.82
40,400,00125.98,-00040.04,00850.10,0.10,12.92
41,410,-00060.55,-00124.51,00718.26,0.09,11.62
42,420,-00217.29,-00173.83,00661.62,0.14,9.00
43,430,-00318.85,-00247.56,00672.85,0.22,7.21
44,440,-00369.14,-00257.81,00729.98,0.32,6.09
45,450,-00301.76,-00356.45,00804.69,0.43,5.26
46,460,-00162.11,-00434.57,00896.97,0.54,4.80
47,470,-00089.36,-00570.31,00969.73,0.61,4.66
48,480,-00142.09,-00729.98,01007.81,0.65,4.69
49,490,-00493.16,-00812.01,01040.53,0.65,4.43
50,500,-00816.41,-00772.46,00979.49,0.61,4.41
51,510,-01770.02,-00573.24,01016.60,0.54,4.21
52,520,-02000.00,-00081.54,00850.59,0.46,4.30
53,530,-02000.00,00449.71,00572.27,0.37,4.09
54,540,-01999.51,00845.70,00436.04,0.29,4.16
55,550,-01255.86,00779.30,00496.58,0.22,4.08
56,560,-00235.84,00525.88,00665.53,0.18,4.20
57,570,00603.03,00190.43,00828.12,0.15,4.04
58,580,00878.91,-00020.51,00888.18,0.15,4.06
59,590,00634.28,-00068.85,00882.81,0.18,3.94
60,600,00374.02,-00011.72,00870.12,0.21,4.03
61,610,-00026.37,-00046.39,00965.33,0.27,4.02
62,620,-00389.16,-00131.35,01174.80,0.35,4.06
63,630,-00607.91,-00225.59,01375.00,0.41,4.02
64,640,-00670.90,-00363.77,01518.07,0.49,4.19
65,650,-00713.87,-00428.71,01494.63,0.56,4.06
66,660,-00731.93,-00405.76,01372.07,0.62,4.15
67,670,-00615.72,-00312.50,01155.27,0.68,3.90
68,680,-00354.00,-00224.12,00916.99,0.73,3.90
69,690,-00059.08,-00155.76,00720.21,0.78,3.69
70,700,00271.48,-00116.21,00610.35,0.81,3.83
71,710,00450.68,-00083.98,00601.56,0.83,3.72
72,720,00490.23,-00115.72,00675.78,0.82,3.79
73,730,00438.48,-00140.62,00824.22,0.79,3.81
74,740,00214.36,-00102.54,00922.36,0.75,3.79
75,750,-00140.14,-00078.12,00999.02,0.69,3.61
76,760,-00505.86,-00044.92,00956.54,0.62,3.65
77,770,-00650.39,00076.17,00962.40,0.54,3.56
78,780,-00701.66,00134.77,00939.94,0.46,3.58
79,790,-00644.04,00090.33,00971.68,0.39,3.59
80,800,-00426.76,00015.63,00984.37,0.34,3.58
81,810,-00193.85,-00098.63,01064.45,0.30,3.58
82,820,-00048.83,-00177.25,01120.12,0.27,3.56
83,830,00030.76,-00224.12,01181.15,0.27,3.59
84,840,00012.21,-00216.31,01232.91,0.28,3.67
85,850,-00099.61,-00231.45,01257.81,0.30,3.56
86,860,-00375.98,-00225.10,01359.38,0.32,3.61
87,870,-00813.96,-00143.07,01467.29,0.34,3.58
88,880,-01209.96,-00035.16,01494.63,0.36,3.57
89,890,-01530.27,00067.38,01476.56,0.38,3.45
90,900,-01688.96,00124.51,01442.87,0.39,3.56
91,910,-01482.91,00058.59,01325.68,0.40,3.42
92,920,-01095.21,-00057.13,01216.80,0.41,3.45
93,930,-00609.37,-00183.11,01077.64,0.42,3.44
94,940,-00005.86,-00249.51,00894.04,0.44,3.61
95,950,00482.42,-00229.49,00671.39,0.46,3.38
96,960,00795.90,-00099.12,00451.17,0.49,3.44
97,970,01061.52,00091.31,00382.32,0.51,3.32
98,980,01169.92,00206.05,00278.81,0.51,3.24
99,990,01133.30,00235.35,00311.52,0.50,3.64
100,1000,01112.30,00147.46,00404.30,0.44,3.79
101,1010,00862.79,-00017.58,00478.03,0.36,3.81
102,1020,00631.35,-00083.98,00524.41,0.25,3.92
103,1030,00373.05,-00047.36,00572.27,0.13,3.87
104,1040,00105.96,-00040.04,00654.79,0.03,4.01
