,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00650.88,00405.27,00824.71,0.66,11.10
1,10,00654.79,00427.73,00806.64,0.67,11.13
2,20,00638.18,00425.78,00809.08,0.67,11.04
3,30,00578.61,00436.04,00823.73,0.65,11.18
4,40,00595.70,00418.46,00853.03,0.62,11.13
5,50,00566.41,00435.55,00914.06,0.60,11.21
6,60,00555.66,00440.43,01035.64,0.57,11.07
7,70,00563.48,00432.13,01123.54,0.55,11.20
8,80,00542.48,00410.64,01146.97,0.52,11.14
9,90,00466.80,00370.61,01142.58,0.50,11.12
10,100,00439.94,00344.24,01104.98,0.49,11.09
11,110,00346.19,00292.97,01001.46,0.47,11.24
12,120,00318.85,00227.05,00904.30,0.46,11.18
13,130,00478.03,00245.12,00827.15,0.45,11.25
14,140,00590.82,00245.61,00713.38,0.45,11.27
15,150,00782.23,00258.30,00515.14,0.45,11.31
16,160,00758.30,00220.21,00449.71,0.45,11.23
17,170,00686.04,00223.14,00534.18,0.45,11.30
18,180,00661.13,00220.21,00564.94,0.44,11.30
19,190,00654.30,00190.43,00533.20,0.43,11.41
20,200,00588.87,00178.22,00465.82,0.41,11.27
21,210,00550.29,00204.10,00460.45,0.39,11.35
22,220,00469.24,00227.05,00572.75,0.37,11.35
23,230,00353.03,00287.60,00683.59,0.36,11.46
24,240,00285.64,00326.17,00762.21,0.34,11.38
25,250,00260.25,00345.21,00807.62,0.34,11.36
26,260,00170.90,00357.91,00814.94,0.34,11.29
27,270,-00021.48,00347.17,00881.84,0.35,11.40
28,280,-00128.91,00357.42,00905.27,0.36,11.37
29,290,-00187.50,00285.16,00951.17,0.37,11.41
30,300,-00202.15,00237.30,00947.75,0.39,11.33
31,310,-00332.03,00171.39,00916.50,0.41,11.41
32,320,-00294.92,00146.48,00858.40,0.43,11.35
33,330,-00110.35,00104.49,00774.90,0.45,11.43
34,340,00360.35,00217.77,00799.80,0.48,11.32
35,350,00662.60,00238.28,00746.58,0.50,11.48
36,360,01011.23,00341.31,00424.32,0.51,11.37
37,370,01284.18,00400.88,00265.14,0.51,11.43
38,380,00866.70,00377.44,01264.65,0.50,11.31
39,390,00920.90,00459.96,00709.96,0.47,11.40
40,400,00766.11,00381.35,00577.64,0.44,11.23
41,410,00767.58,00273.44,00539.55,0.40,11.41
42,420,00655.76,00157.23,00575.68,0.36,11.43
43,430,00697.75,00206.05,00549.32,0.33,11.36
